First Analysis,First Analysis,Second Analysis,Second Analysis,Second Analysis,Second Analysis,Domain analysis
ROI_name,subtest,ROI_name,subtest,AUC value and 95% CI,Dose cut-off (Gy),Domain
Cerebelum_10_R,Dominant Hand (PP),Cerebelum_10_R,Dominant Hand (PP),,,
Cerebelum_3_R,Dominant Hand (PP),,,,,
Cerebelum_4_5_L,Dominant Hand (PP),,,,,
Cerebelum_4_5_R,Dominant Hand (PP),,,,,
Cerebelum_Crus1_L,Dominant Hand (PP),Cerebelum_Crus1_L,Dominant Hand (PP),,,
Cerebelum_Crus1_R,Dominant Hand (PP),,,,,
Cingulum_Ant_L,Freedom from distractibility index,Cingulum_Ant_L,Freedom from distractibility index,0.91 (0.78;1),9.9,school-related abilities
Cingulum_Ant_L,Full scale IQ,,,,,
Frontal_Inf_Tri_L,Vocabulary (WPPSI/WISC/WAIS),,,,,
Frontal_Mid_Orb_L,Verbal IQ,,,,,
Frontal_Mid_Orb_L,Vocabulary (WPPSI/WISC/WAIS),,,,,
Frontal_Mid_R,Freedom from distractibility index,Frontal_Mid_R,Freedom from distractibility index,,,
Frontal_Sup_L,Information (WPPSI/WISC/WAIS),,,,,
Frontal_Sup_L,Digit span (WISC/WAIS),,,,,
Frontal_Sup_L,Vocabulary (WPPSI/WISC/WAIS),,,,,
Frontal_Sup_Medial_L,Verbal IQ,,,,,
Frontal_Sup_R,Arithmetic (WISC/WAIS),,,,,
Frontal_Sup_R,Freedom from distractibility index,,,,,
Frontal_Sup_R,Information (WPPSI/WISC/WAIS),,,,,
Frontal_Sup_R,Verbal IQ,,,,,
Frontal_Sup_R,Vocabulary (WPPSI/WISC/WAIS),,,,,
Heschl_R,Assembly (PP),,,,,
Insula_L,Freedom from distractibility index,Insula_L,Freedom from distractibility index,0.92(0.79;1),12.9,school-related abilities
Insula_R,Arithmetic (WISC/WAIS),Insula_R,Arithmetic (WISC/WAIS),0.89(0.77;1),18.2,school-related abilities/ memory
Insula_R,Freedom from distractibility index,,Freedom from distractibility index,0.91(0.78;1),18.2,school-related abilities/ memory
Occipital_Mid_L,Dominant Hand (PP),Occipital_Mid_L,Dominant Hand (PP),,,
Occipital_Mid_L,Non Dominant Hand (PP),,Non Dominant Hand (PP),,,
Occipital_Sup_R,Dominant Hand (PP),,,,,
Occipital_Sup_R,Non Dominant Hand (PP),,,,,
Olfactory_L,Processing speed index,,,,,
Paracentral_Lobule_L,Full scale IQ,Paracentral_Lobule_L,Full scale IQ,0.88(0.75;1),7.7,
Paracentral_Lobule_L,Vocabulary (WPPSI/WISC/WAIS),,Vocabulary (WPPSI/WISC/WAIS),,,
Parietal_Inf_L,Full scale IQ,,,,,
Parietal_Inf_L,Vocabulary (WPPSI/WISC/WAIS),,,,,
Parietal_Sup_L,Full scale IQ,,,,,
Postcentral_L,Full scale IQ,,,,,
Temporal_Mid_L,Dominant Hand (PP),Temporal_Mid_L,Dominant Hand (PP),,,
Temporal_Pole_Sup_R,Dominant Hand (PP),,,,,
Vermis_3,Dominant Hand (PP),,,,,
Vermis_4_5,Dominant Hand (PP),Vermis_4_5,Dominant Hand (PP),0.97(0.90;1),16.7,
