Unnamed: 0,OrthopedicControl,HealthyControl,p-value(OC vs. HC)
N,19,18,
Age (yrs),37.3 ± 13.8 (19 – 60),35.5 ± 12.3 (18 – 56),0.79
Sex (Male),12 (63%),5 (28%),0.043???
Education (yrs),13.4 ± 1.9 (11 – 18),17.1 ± 3.4 (10 – 24),0.0003???
Days post injury,13.8 ± 6.9 (6 – 29),,
Symptom Ratings,Symptom Ratings,Symptom Ratings,Symptom Ratings
PSQI,7.4 ± 5.1 (0 – 17),5.2 ± 3.5 (1 – 12),0.17
RPQ,14.2 ± 15.1 (0 – 48),8.6 ± 7.9 (0 – 26),0.22
Total Number of Symptoms,4.3 ± 4.8 (0 – 14),2.0 ± 2.4 (0 – 8),0.12
Glymphatic Imaging Markers,Glymphatic Imaging Markers,Glymphatic Imaging Markers,Glymphatic Imaging Markers
WM-ePVS (%),0.40 ± 0.18,0.39 ± 0.18,0.90
BG-PVS (%),0.48 ± 0.21,0.59 ± 0.22,0.13
ALPS Index,1.49 ± 0.14,1.51 ± 0.10,0.59
