Unnamed: 0,No Memory Prob at 14Day,No Memory Prob at 14Day.1,With Memory Prob at 14Day,With Memory Prob at 14Day.1,Group Difference (p-value),Group Difference (p-value).1
N,21,21,23,23,,
,35.3 ± 11.2 (19 – 59),35.3 ± 11.2 (19 – 59),33.9 ± 11.5 (18 – 53),33.9 ± 11.5 (18 – 53),0.68,0.68
Sex (Male),13 (62%),13 (62%),11 (48%),11 (48%),0.35,0.35
Education (yrs),14.4 ± 3.2 (9 – 24),14.4 ± 3.2 (9 – 24),14.1 ± 2.4 (9 – 18),14.1 ± 2.4 (9 – 18),0.74,0.74
Positive CT or MRI,13 (62%),13 (62%),7 (30%),7 (30%),0.067,0.067
Admission GCS,14.7 ± 0.7 (13 – 15),14.7 ± 0.7 (13 – 15),14.9 ± 0.4 (14 – 15),14.9 ± 0.4 (14 – 15),0.25,0.25
,14Day,6–12Mon,14Day,6–12Mon,14Day,6–12Mon
Days post injury,12.8 ± 9.1 (2 – 45),14.6 ± 7.1 (3 – 34),306 ± 99 (157 – 440),305 ± 97 (173 – 508),0.47,0.95
Symptom Ratings,Symptom Ratings,Symptom Ratings,Symptom Ratings,Symptom Ratings,Symptom Ratings,Symptom Ratings
PSQI,5.7 ± 3.2 (1 – 14),6.7 ± 4.0 (0 – 14),6.5 ± 2.8 (3 – 13),6.5 ± 2.8 (3 – 14),0.42,0.72
RPQ,7.8 ± 7.1 (0 – 21),15.1 ± 15.6 (0 – 46),33.8 ± 16.7 (15 – 85),27.2 ± 15.4 (4 – 73),< 0.0001???,0.02???
Total Number of Symptoms,2.7 ± 2.5 (0 – 7),4.0 ± 4.8 (0 – 15),11.0 ± 4.3 (6 – 21),9.3 ± 6.3 (1 – 22),< 0.0001???,0.004???
Glymphatic Imaging Markers,Glymphatic Imaging Markers,Glymphatic Imaging Markers,Glymphatic Imaging Markers,Glymphatic Imaging Markers,Glymphatic Imaging Markers,Glymphatic Imaging Markers
WM-ePVS(%),0.27 ± 0.16,0.28 ± 0.17,0.44 ± 0.31,0.47 ± 0.36,0.016???,0.014???
BG-PVS (%),0.43 ± 0.27,0.53 ± 0.32,0.56 ± 0.32,0.76 ± 0.64,0.17,0.14
ALPS Index,1.53 ± 0.13,1.49 ± 0.14,1.50 ± 0.13,1.50 ± 0.12,0.44,0.82
