Unnamed: 0,NC (n = 28),SMI (n = 28),MCI (n = 29),P value,Post hoc
FA,,,,,
HB,0.15 ± 0.013,0.12 ± 0.015,0.10 ± 0.012,< 0.001,NC > SMI > MCI
AC,0.53 ± 0.040,0.47 ± 0.055,0.47 ± 0.055,< 0.001,NC > SMI = MCI
PC,0.54 ± 0.040,0.50 ± 0.056,0.49 ± 0.035,< 0.001,NC > SMI = MCI
Ant. CC,0.59 ± 0.051,0.53 ± 0.050,0.56 ± 0.052,< 0.001,NC > SMI = MCI
Post. CC,0.65 ± 0.051,0.58 ± 0.068,0.60 ± 0.043,< 0.001,NC > SMI = MCI
MD,,,,,
HB,0.86 ± 0.057,0.93 ± 0.062,0.99 ± 0.064,< 0.001,MCI > SMI > NC
AC,0.77 ± 0.049,0.84 ± 0.040,0.82 ± 0.041,< 0.001,SMI = MCI > NC
PC,0.72 ± 0.050,0.80 ± 0.033,0.77 ± 0.049,< 0.001,SMI = MCI > NC
Ant.CC,0.90 ± 0.108,1.05 ± 0.093,1.05 ± 0.115,< 0.001,SMI = MCI > NC
Post.CC,0.92 ± 0.115,1.07 ± 0.139,1.07 ± 0.100,< 0.001,SMI = MCI > NC
