Cerebral gray matter,Hemisphere,T score,MNI (mm),MNI (mm),MNI (mm)
Cerebral gray matter,Hemisphere,T score,x,y,z
NC > MCI,,,,,
Posterior central gyrus,L,3.79,-38.0,-22.0,46.0
Hippocampus,L,3.61,-30.0,-36.0,0.0
Inferior frontal gyrus,L,3.42,-36.0,18.0,28.0
Medial frontal gyrus,R,3.31,2.0,60.0,12.0
Precuneus,R,2.77,10.0,-56.0,40.0
Precuneus,L,2.76,0.0,-54.0,-62.0
NC > SMI,,,,,
Calcarine cortex,R,4.89,14.0,-74.0,20.0
Precuneus,R,4.06,10.0,-58.0,42.0
Mid cingulate gyrus,L,3.37,-14.0,-14.0,44.0
Lingual gyrus,R,3.93,16.0,-70.0,-2.0
Inferior temporal gyrus,R,3.79,64.0,-42.0,-26.0
Mid cingulate gyrus,R,3.77,14.0,18.0,36.0
Orbito frontal gyrus,L,3.61,-2.0,68.0,-14.0
Inferior frontal gyrus,L,3.18,-36.0,18.0,28.0
SMI > MCI,,,,,
Inferior parietal gyrus,R,4.47,48.0,-56.0,56.0
Superior frontal gyrus,L,4.18,-28.0,-8.0,70.0
Posterior central gyrus,L,3.86,-48.0,-18.0,60.0
Precentral gyrus,R,3.82,48.0,-18.0,64.0
Superior frontal gyrus,R,3.31,30.0,-8.0,70.0
Precuneus,L,3.31,-8.0,-78.0,56.0
Cuneus,L,2.95,-2.0,-84.0,40.0
Calcarine cortex,L,3.36,-4.0,-98.0,-12.0
Superior parietal gyrus,L,3.35,-24.0,-66.0,66.0
Hippocampus,L,3.06,-20.0,-10.0,-16.0
Superior temporal gyrus,L,3.03,-30.0,6.0,-18.0
Parahippocampal gyrus,L,2.85,-16.0,-20.0,-20.0
Inferior temporal gyrus,R,2.85,48.0,-56.0,-20.0
