Unnamed: 0,Far from onset preHD (N = 12),Healthy controls (N = 22),p-value
Sex (male:female),3:9,15:7,0.030a
Age/y,"36 (32–46), 27–62","45 (39–49), 25–51",0.287b
UHDRSb total motor score,"2 (1–3), 0–9",,
Years of education,"14 (12–14), 9–17","17 (14–18), 12–19",0.047b
CAGn repeat size,"40 (40–42), 39–44",,
Disease-burden scored,"202 (169–222), 102–233",,
Predicted years to onsete,"23 (19–29), 14–43",,
Verbal fluency,"42 (37–50), 30–54","41 (33–50), 25–52",0.851b
Stroop color,"80 (62–91), 35–100","79 (69–88), 48–96",0.808b
Stroop interference,"55 (44–64), 18–106","49 (44–54), 34–65",0.359b
Stroop read,"97 (78–114), 43–128","100 (92–134), 74–150",0.201b
SDMTf,"56 (46–67), 25–79","53 (50–60), 35–85",0.940b
