Unnamed: 0,mTBI mean (SD),Controls mean (SD),mTBI vs. controls P-value (Cohen’s d)
Demographic,,,
Age,37.7 (13.6),37.5 (12.2),0.96 (0.01)
Gender (M/F),21/12,22/9,0.36 (0.16)
Education,8.1 (4.1),10.5 (5.9),0.083 (-0.49)
Neuropsychology,,,
TMT-A,64.1 (31.7),55.1 (37.0),0.30 (0.26)
RPCS,11.0 (7.3),2.8 (2.7),< 0.001 (1.48)
PCL-C,23.9 (6.0),17.0 (0.0),< 0.001 (1.64)
DCS,31.8 (15.0),42.7 (17.6),0.010 (-0.67)
FDS,7.6 (1.7),8.0 (1.5),0.34 (-0.24)
BDS,3.6 (1.4),3.8 (1.3),0.56 (-0.14)
VFT,17.3 (5.1),18.0 (6.7),0.62 (-0.12)
Beck,4.4 (4.7),0.1 (0.2),< 0.001 (1.31)
FSS,10.4 (4.2),9.0 (0.0),0.07 (0.48)
ISI,7.3 (6.0),2.7 (3.7),0.001 (0.92)
