ROI,Unnamed: 1_level_0,Unnamed: 2_level_0,Subjects,Subjects,Subjects,p value,p value,p value
ROI,Unnamed: 1_level_1,Unnamed: 2_level_1,AD,MCI,CN,AD–MCI,AD–CN,MCI–CN
"Superior temporal gyrus, ROI1, X ±58, Y −6, z −4",Rt,gm,1.045±0.156,0.875±0.072,0.908±0.084,0.00026,0.0049,0.22578
"Superior temporal gyrus, ROI1, X ±58, Y −6, z −4",Rt,neg,1.049±0.161,0.870±0.076,0.907±0.091,0.00022,0.005,0.21123
"Superior temporal gyrus, ROI1, X ±58, Y −6, z −4",Rt,pos,1.042±0.153,0.879±0.069,0.909±0.079,0.0003,0.0045,0.24897
"Superior temporal gyrus, ROI1, X ±58, Y −6, z −4",Lt,gm,1.023±0.155,0.911±0.117,0.955±0.099,0.02489,0.15434,0.25234
"Superior temporal gyrus, ROI1, X ±58, Y −6, z −4",Lt,neg,1.027±0.163,0.917±0.127,0.960±0.108,0.03755,0.18508,0.30315
"Superior temporal gyrus, ROI1, X ±58, Y −6, z −4",Lt,pos,1.022±0.150,0.907±0.110,0.954±0.092,0.01635,0.13488,0.19277
"Limbic parahippocampal gyrus, ROI 2, X ±32, y −24, z −22",Rt,gm,0.100±0.111,0.891±0.071,0.882±0.060,0.00187,0.00091,0.69383
"Limbic parahippocampal gyrus, ROI 2, X ±32, y −24, z −22",Rt,neg,0.933±0.111,0.877±0.074,0.875±0.061,0.00112,0.00088,0.93385
"Limbic parahippocampal gyrus, ROI 2, X ±32, y −24, z −22",Rt,pos,1.007±0.111,0.906±0.074,0.890±0.058,0.00395,0.00088,0.4903
"Limbic parahippocampal gyrus, ROI 2, X ±32, y −24, z −22",Lt,gm,1.036±0.116,0.879±0.060,0.882±0.075,2e-05,0.00012,0.92913
"Limbic parahippocampal gyrus, ROI 2, X ±32, y −24, z −22",Lt,neg,1.031±0.111,0.868±0.058,0.870±0.074,1e-05,5e-05,0.94042
"Limbic parahippocampal gyrus, ROI 2, X ±32, y −24, z −22",Lt,pos,1.036±0.118,0.890±0.062,0.893±0.078,8e-05,0.00039,0.90633
"Middle temporal gyrus, ROI 3, X ±40, y −74, z 28",Rt,gm,0.963±0.099,0.837±0.062,0.832±0.058,0.00011,9e-05,0.78235
"Middle temporal gyrus, ROI 3, X ±40, y −74, z 28",Rt,neg,0.963±0.108,0.832±0.062,0.836±0.062,0.00013,0.00034,0.89277
"Middle temporal gyrus, ROI 3, X ±40, y −74, z 28",Rt,pos,0.966±0.105,0.843±0.064,0.829±0.054,0.00025,8e-05,0.49316
"Middle temporal gyrus, ROI 3, X ±40, y −74, z 28",Lt,gm,0.944±0.115,0.852±0.059,0.875±0.078,0.0059,0.05985,0.33837
"Middle temporal gyrus, ROI 3, X ±40, y −74, z 28",Lt,neg,0.944±0.118,0.846±0.065,0.871±0.077,0.00511,0.05068,0.30961
"Middle temporal gyrus, ROI 3, X ±40, y −74, z 28",Lt,pos,0.947±0.114,0.859±0.054,0.879±0.081,0.01048,0.14942,0.23174
"Occipital cuneus, ROI 4, X ±26, y −84, z 16",Rt,gm,0.948±0.090,0.829±0.051,0.839±0.058,4e-05,0.00035,0.61712
"Occipital cuneus, ROI 4, X ±26, y −84, z 16",Rt,neg,0.934±0.082,0.828±0.059,0.839±0.060,0.00015,0.00085,0.59032
"Occipital cuneus, ROI 4, X ±26, y −84, z 16",Rt,pos,0.962±0.106,0.830±0.046,0.838±0.057,4e-05,0.00031,0.65473
"Occipital cuneus, ROI 4, X ±26, y −84, z 16",Lt,gm,0.924±0.103,0.853±0.080,0.879±0.063,0.03507,0.15081,0.31487
"Occipital cuneus, ROI 4, X ±26, y −84, z 16",Lt,neg,0.920±0.104,0.853±0.087,0.873±0.063,0.05182,0.13221,0.45565
"Occipital cuneus, ROI 4, X ±26, y −84, z 16",Lt,pos,0.927±0.107,0.853±0.075,0.884±0.064,0.02715,0.18312,0.21208
"Limbic uncus, ROI 5, X ±24, y −4, z −32",Rt,gm,1.047±0.142,0.950±0.103,0.928±0.066,0.03111,0.00532,0.46841
"Limbic uncus, ROI 5, X ±24, y −4, z −32",Rt,neg,1.040±0.165,0.933±0.111,0.918±0.081,0.03475,0.01353,0.65553
"Limbic uncus, ROI 5, X ±24, y −4, z −32",Rt,pos,1.053±0.135,0.967±0.100,0.943±0.065,0.04522,0.00692,0.42162
"Limbic uncus, ROI 5, X ±24, y −4, z −32",Lt,gm,1.055±0.118,0.962±0.071,0.912±0.097,0.00053,0.0009,0.61871
"Limbic uncus, ROI 5, X ±24, y −4, z −32",Lt,neg,1.053±0.119,0.912±0.074,0.899±0.099,0.00023,0.00049,0.66891
"Limbic uncus, ROI 5, X ±24, y −4, z −32",Lt,pos,1.062±0.124,0.939±0.069,0.923±0.098,0.00118,0.00166,0.5715
