Unnamed: 0,Normal,AD,FTD
Number of subjects,21,20,20
Age (years),61.9 ± 9.6,63.1 ± 6.9,60.7 ± 9.9
Age range (years),33∼73,51∼73,32∼74
Sex (M : F),11 : 10,11 : 9,13 : 7
Years of Education (years),16.8 ± 2.5,15.7 ± 3.0,16.2 ± 3.2
MMSE,29.6 ± 0.5,21.9 ± 5.6,23.1 ± 5.6
CDR,0,0.8 ± 0.3,1.2 ± 0.6
APOE-ε4 (carriers: non-carriers),3 : 17a,14 : 5a,7 : 11b
Age of onset (years),,56.2 ± 5.7c,55.1 ± 9.9
Symptom duration (years),,3.25 ± 1.6c,5.3 ± 4.9
WMSH (severe : moderate : mild),3 : 2 : 16,1 : 4 : 15,2 : 2 : 16
