Unnamed: 0,PAOS (n = 22),Control (n = 26),p‐Values
"Female, n (%)",15 (68%),13 (50%),.25
"Handedness, n (%)",,,>.99
Left,3 (14%),3 (14%),
Right,19 (86%),18 (86%),
"Education, yr.","16 (14, 18)","16 (13, 18)",.77
"Age at visit, yr.","71 (61, 74)","60 (56, 70)",.10
"Age at onset, yr.","67 (57, 71)",,
"Time from onset to visit, yr.","2.7 (1.8, 5.2)",,
"Aphasia present, n (%)",11 (55%),,
AOS severity (/4),"2 (1, 3)",,
Aphasia severity (/4),"1 (0,1)",,
MoCA (/30),"23 (20, 27)","27 (26, 28)",<.001
CPIB (/50),"8 (2,14)",,
WAB‐AQ (/100),"96 (87, 99)",,
ASRS total v3 (/52),"23 (12, 24)",,
AES total,"26 (14, 44)",,
MDS‐UPDRS III (/132),"10 (6, 15)",,
WAB praxis (/60),"58 (53, 60)",,
