Unnamed: 0_level_0,SIVD,AD,NC,Unnamed: 4_level_0
Unnamed: 0_level_1,n = 23,n = 30,n = 24,p
Age (years),74.0 (8.52),78.3 (6.43),65.9 (7.31),"<.001???,???,"
Education (years),7.5 (2.71),7.9 (3.53),10.0 (3.36),.017???
Duration (years),2.3 (2.12),3.1 (1.69),0.0 (0.0),"<.001???,???,"
Gender (male/female),12/11,15/15,12/12,.984
Handedness (right/left),22/1,29/1,24/0,.847
Hachinski ischemic scale,9.7 (2.50),1.7 (1.33),0.9 (0.90),"<.001???,???,"
Fazekas scale periventricular white matter hyperintensities,2.0 (0.56),1.0 (0.58),0.5 (0.58),"<.001???,???,???,,"
Deep white matter hyperintensities,2.0 (0.51),0.7 (0.59),0.5 (0.50),"<.001???,???,"
Total,4.1 (0.92),1.7 (0.95),1.1 (0.85),"<.001???,???,"
Clinical dementia Rating_sum of box,6.3 (4.57),4.6 (2.64),0.6 (0.51),"<.001???,???,"
Cognitive abilities screening instrument,59.3 (19.73),62.8 (17.36),87.5 (4.91),"<.001???,???,"
Mini‐mental state examination,18.2 (6.63),20.9 (4.37),27.7 (1.61),"<.001???,???,"
