Unnamed: 0_level_0,Unnamed: 1_level_0,Kaxial,Kaxial,Kradial,Kradial,MK,MK
Unnamed: 0_level_1,Subregions,CDRSOB,MMSE,CDRSOB,MMSE,CDRSOB,MMSE
Left thalamus,PUL,−.285*,.110,−.169,.243*,−.241*,.267*
Left thalamus,ANT,−.097†,.070,−.271*,.210,−.296*,.235*
Left thalamus,MedioD,−.029,−.057,−.019,−.008,−.079,.035
Left thalamus,VLD,−.113,−.084,.030,.053,−.095,.128
Left thalamus,C,−.077,−.034,.083,.049,−.008,.111
Left thalamus,VA,−.015,−.044,−.066,.095,−.082,.112
Left thalamus,VLV,−.194,.013,−.228*,.148,−.314**,.211
Right thalamus,PUL,−.299**,.178,.107,−.013,−.022,.073
Right thalamus,ANT,−.155,.019,−.340**,.229*,−.360**†,.212
Right thalamus,MedioD,−.091,−.057,−.232*,.085,−.223,.068
Right thalamus,VLD,−.139,−.008,.050,−.027,−.058,.054
Right thalamus,C,−.275*†,.057,−.069,.029,−.183,.106
Right thalamus,VA,−.072,.036,−.016,.027,−.063,.061
Right thalamus,VLV,−.205†,.146,−.010,−.052,−.092,.008
