Unnamed: 0_level_0,A +,A +,A +
Unnamed: 0_level_1,CSF Aβ-42,CSF p-tau181,Plasma NfL
Model 1 coefficients,Model 1 coefficients,Model 1 coefficients,Model 1 coefficients
Age,-0.02,0.00,0.46***
Female sex,0.36***,0.3**,0.20*
MCI,0.20,0.38**,0.21
AD,0.00,0.57***,0.39*
Cortical SUVR,-0.23***,0.23***,0.10*
Adjusted NAWM SUVR,0.52***,-0.15**,-0.13**
Model 2 coefficients,Model 2 coefficients,Model 2 coefficients,Model 2 coefficients
Age,-0.01,0.03,0.46***
Female sex,0.37***,0.29**,0.20*
MCI,0.06,0.44**,0.27*
AD,-0.24,0.66**,0.49**
Cortical SUVR,0.05,0.16***,0.04
Adjusted WMH SUVR,0.42***,-0.12*,-0.07
