Unnamed: 0_level_0,Model 1,Model 1,Model 1,Model 2,Model 2,Model 2,Model 3,Model 3,Model 3
Parameter,β,95% CI,p‐value,β,95% CI,p‐value,β,95% CI,p‐value
MarkVCID cohort,,,,,,,,,
ALPS→WM‐FW,−0.31,−0.42 to −0.26,<0.001???,−0.30,−0.39 to −0.22,<0.001???,−0.22,−0.32 to −0.17,<0.001???
WM‐FW→UDS3‐EF,−0.19,−0.29 to −0.08,0.001???,−0.18,−0.29 to −0.07,0.001???,−0.20,−0.32 to −0.07,0.001???
ALPS→UDS3‐EF,,,,,,,,,
Total effect,0.13,0.06 to 0.25,<0.001???,0.11,0.03 to 0.23,0.01???,0.10,0.03 to 0.22,0.02???
Direct effect,0.08,−0.004 to 0.19,0.07,0.07,−0.02 to 0.19,0.17,0.06,−0.02 to 0.17,0.23
Indirect effect,0.06,0.02 to 0.10,<0.001???,0.05,0.02 to 0.09,<0.001???,0.04,0.01 to 0.09,0.002???
UCD_ADRC cohort,,,,,,,,,
ALPS→WM‐FW,−0.12,−0.21 to −0.04,0.005???,−0.12,−0.21 to −0.04,0.004???,−0.11,−0.18 to −0.03,0.004???
WM‐FW→UDS3‐EF,−0.26,−0.37 to −0.15,<0.001???,−0.26,−0.37 to −0.15,<0.001???,−0.22,−0.35 to −0.08,0.002???
ALPS→UDS3‐EF,,,,,,,,,
Total effect,0.10,0.009 to 0.19,0.02???,0.10,0.008 to 0.19,0.02???,0.09,0.0005 to 0.18,0.05
Direct effect,0.07,−0.02 to 0.16,0.12,0.07,−0.02 to 0.15,0.11,0.06,−0.02 to 0.16,0.16
Indirect effect,0.03,0.008 to 0.06,0.01???,0.03,0.009 to 0.06,0.01???,0.02,0.005 to 0.05,0.004???
UCSF_MAC cohort,,,,,,,,,
ALPS→WM‐FW,−0.26,−0.41 to −0.12,<0.001???,−0.23,−0.40 to −0.07,0.007???,−0.19,−0.35 to −0.04,0.02???
WM‐FW→UDS3‐EF,−0.31,−0.43 to −0.18,<0.001???,−0.35,−0.52 to −0.18,<0.001???,−0.33,−0.52 to −0.15,<0.001???
ALPS→UDS3‐EF,,,,,,,,,
Total effect,0.23,0.11 to 0.36,<0.001???,0.21,0.040 to 0.36,0.02???,0.19,0.03 to 0.34,0.02???
Direct effect,0.15,0.04 to 0.28,0.012???,0.13,−0.03 to 0.27,0.09,0.13,−0.03 to 0.28,0.12
Indirect effect,0.08,0.03 to 0.14,0.002???,0.08,0.02 to 0.17,0.01???,0.06,0.02 to 0.15,0.03???
FHS cohort,,,,,,,,,
ALPS→WM‐FW,−0.17,−0.19 to −0.14,<0.001???,−0.16,−0.19 to −0.13,<0.001,−0.14,−0.16 to −0.11,0.001???
WM‐FW→UDS3‐EF,−0.17,−0.22 to −0.12,<0.001???,−0.16,−0.21 to −0.12,<0.001,−0.18,−0.23 to −0.13,<0.001???
ALPS→UDS3‐EF,,,,,,,,,
Total effect,0.07,0.04 to 0.10,<0.001???,0.06,0.03 to 0.10,<0.001???,0.06,0.03 to 0.1,<0.001???
Direct effect,0.04,0.008 to 0.08,0.01???,0.04,0.005 to 0.07,0.036???,0.04,0.001 to 0.08,<0.05???
Indirect effect,0.03,0.02 to 0.04,<0.001???,0.03,0.02 to 0.04,<0.001???,0.02,0.02 to 0.03,<0.001???
