Unnamed: 0,"30–49,n = 59","50–59, n = 262","60–69, n = 540","70–79, n = 407","80–89, n = 296",P value
Demographics & APOE,Demographics & APOE,Demographics & APOE,Demographics & APOE,Demographics & APOE,Demographics & APOE,Demographics & APOE
Age,40.02(5.24),54.64(2.46),64.59(2.84),74.51(2.91),83.52(2.94),
Male,32(54%),133(51%),272(50%),212(52%),171(58%),0.32
APOE e4,14(24%),79(30%),154(29%),124(30%),78(26%),0.661
BMI,28.31(5.87),29.21(5.4),29.49(5.43),28.21(4.47),26.98(4.2),<0.001
Laboratory results,Laboratory results,Laboratory results,Laboratory results,Laboratory results,Laboratory results,Laboratory results
LDL,102.42(31.32),109.13(30.92),103.76(29.77),97.3(29.03),90.89(27.32),<0.001
HDL,55.08(18.03),55.64(17.85),55.49(17.05),55.76(17.36),55.09(16.51),0.991
Triglycerides,119.56(70.17),128.87(65.16),130.76(62.01),125.95(59.16),123.17(53.95),0.425
Total cholesterol,181.42(40.46),190.57(33.87),185.42(35.61),178.26(36.32),170.6(33.89),<0.001
HbA1c,5.87(1.32),6.04(1.12),5.93(1),5.95(0.79),5.97(0.76),0.912
SBP,126.19(15.02),131.48(16),139.13(18.45),141.15(18.5),142.49(20.13),<0.001
DBP,78.42(10.96),79.16(9.34),78.2(9.98),74.14(10.05),71.12(10.86),<0.001
Current Clinical Diagnosis,Current Clinical Diagnosis,Current Clinical Diagnosis,Current Clinical Diagnosis,Current Clinical Diagnosis,Current Clinical Diagnosis,Current Clinical Diagnosis
Cognitively Impaired,2(3%),7(3%),29(5%),62(15%),68(23%),<0.001
Diabetes,3(5%),31(12%),73(14%),74(18%),56(19%),0.007
Hypertension,6(10%),82(31%),285(53%),273(67%),244(82%),<0.001
Dyslipidemia,20(34%),169(65%),424(79%),332(82%),254(86%),<0.001
Midlife risk factors,Midlife risk factors,Midlife risk factors,Midlife risk factors,Midlife risk factors,Midlife risk factors,Midlife risk factors
Midlife physical activity,8.27(3.55),7.39(3.66),9.1(4.43),9.11(4.27),9.15(4.66),<0.001
Midlife cognitive activity,17.07(6.59),20.29(8.27),18.62(9.22),20.94(8.61),20.87(9.49),<0.001
Smoking status,21(36%),92(35%),246(46%),205(50%),119(40%),<0.001
MRI & DTI,MRI & DTI,MRI & DTI,MRI & DTI,MRI & DTI,MRI & DTI,MRI & DTI
Abnormal WMH,0(0%),0(0%),24(4%),65(16%),110(37%),<0.001
Baseline WMH,0.18(0.09),0.31(0.22),0.56(0.61),1.02(0.79),1.74(1.35),<0.001
Genu of the corpus callosum FA,0.64(0.04),0.63(0.04),0.61(0.04),0.59(0.05),0.56(0.05),<0.001
Splenium of the corpus callosum FA,0.69(0.03),0.69(0.03),0.69(0.04),0.68(0.04),0.66(0.05),<0.001
Body of corpus callosum FA,0.62(0.03),0.61(0.04),0.6(0.04),0.59(0.04),0.56(0.05),<0.001
Anterior limb of the internal capsule FA,0.59(0.03),0.59(0.03),0.59(0.03),0.57(0.04),0.56(0.04),<0.001
Scan statistics,Scan statistics,Scan statistics,Scan statistics,Scan statistics,Scan statistics,Scan statistics
"Scan Interval, years",,1.25(0.44),1.31(0.45),1.73(0.77),1.78(0.87),
Participants with 2 Scans,0(0%),70(27%),200(37%),129(32%),80(27%),
Participants with 3 Scans,0(0%),11(4%),43(8%),62(15%),36(12%),
