Demographic variables,Mean (S.D.)/number (%)
"Age, mean (S.D.) years",68.2 (9.07)
"Male, n (%)",64 (58.7%)
Premorbid IQ,115.8 (8.12)
MoCA <26,54 (49.5%)
Systolic blood pressure (mmHg),150 (13)
Diastolic blood pressure (mmHg),85 (12)
"Previous stroke, n (%)",21 (19.3%)
"Hypercholesterolaemia, n (%)",84 (77.1%)
"Diabetes, n (%)",24 (22.0%)
"Current smokers, n (%)",16 (14.7%)
"Former smokers, n (%)",40 (37.7%)
"Angina, n (%)",7 (6.4%)
"Myocardial infarction, CABG or coronary angioplasty, n (%)",6 (5.5%)
"Peripheral vascular disease, n (%)",2 (1.9%)
"History of depression, n (%)",20 (18.3%)
