Tissue class model,MR variable,Global cog.,Proc. speed,Mental flex.,Verbal fluency,Verbal mem.,MOCA,SSQoL,EuroQoL
NAWM,Whole NBV,0.134 (0.227),0.197 (0.098),0.112 (0.363),–0.041 (0.735),0.163 (0.213),0.284 (0.014),0.137 (0.323),–
,,[–0.085 : 0.353],[–0.037 : 0.432],[–0.131 : 0.356],[–0.280 : 0.198],[–0.095 : 0.422],[0.058 : 0.509],[–0.137 : 0.410],
,WM NBV,–,–,–,–,–,–,–,0.230 (0.030)
,,,,,,,,,[0.023 : 0.437]
,WMH lesion load,–0.029 (0.775),–0.126 (0.246),-0.009 (0.938),0.006 (0.954),0.033 (0.784),0.116 (0.270),–0.100 (0.428),–0.144 (0.315)
,,[–0.230 : 0.172],[–0.341 : 0.089],[–0.232 : 0.215],[–0.212 : 0.225],[–0.204 : 0.270],[–0.091 : 0.323],[–0.351 : 0.150],[–0.354 : 0.125]
,N° lacunes,–0.251 (0.006),–0.287 (0.004),–0.166 (0.099),–0.192 (0.057),–0.186 (0.082),–0.247 (0.009),–0.245 (0.031),–0.047 (0.672)
,,[–0.429 : –0.072],[–0.477 : 0.096],[–0.365 : 0.032],[–0.390 : 0.006],[–0.397 : 0.024],[–0.431 : –0.063],[–0.467 : –0.022],[–0.266 : 0.172]
,FA median,0.227 (0.023),0.038 (0.717),0.253 (0.022),0.333 (0.002),0.085 (0.463),0.244 (0.018),0.032 (0.796),0.196 (0.099)
,,[0.032 : 0.421],[–0.170 : 0.247],[0.037 : 0.470],[0.121 : 0.546],[–0.145 : 0.315],[0.043 : 0.445],[–0.211 : 0.275],[–0.037 : 0.428]
,MD peak height,–,–,–,–,–,–,–,–
,"Model sig. (P-value, adj. R2)","<0.001, 0.429","<0.001, 0.334","<0.001, 0.292","<0.001, 0.317","0.001, 0.202","<0.001, 0.392","0.029, 0.108","0.004, 0.164"
WM,Whole NBV,0.131 (0.236),0.194 (0.103),0.107 (0.380),–0.041 (0.730),0.162 (0.215),0.284 (0.014),0.139 (0.316),–
,,[–0.087 : 0.349],[–0.040 : 0.428],[–0.135 : 0.350],[0.280 : 0.197],[–0.096 : 0.421],[0.058 : 0.509],[–0.135 : 0.0412],
,WM NBV,–,–,–,–,–,–,–,0.225 (0.033)
,,,,,,,,,[0.018 : 0.432]
,WMH lesion load,0.025 (0.882),–0.110 (0.359),0.055 (0.655),0.075 (0.536),0.052 (0.693),0.164 (0.155),–0.100 (0.474),–0.081 (0.545)
,,[–0.195 : 0.245],[–0.346 : 0.127],[–0.189 : 0.299],[–0.165 : 0.315],–0.209 : 0.313],[–0.063 : 0.392],[–0.376 : 0.176],[–0.347 : 0.184]
,N°lacunes,–0.248 (0.007),–0.285 (0.004),–0.163 (0.104),–0.190 (0.059),–0.186 (0.083),–0.245 (0.009),–0.245 (0.031),–0.047 (0.669)
,,[–0.425 : –0.70],[–0.476 : –0.095],[–0.360 : 0.034],[–0.388 : 0.007],[–0.396 : 0.025],[–0.429 : –0.062],[–0.468 : –0.023],[–0.267 : 0.172]
,FA median,0.268 (0.016),0.058 (0.621),0.306 (0.013),0.376 (0.002),0.099 (0.445),0.273 (0.017),0.026 (0.849),–
,,[0.052 : 0.484],[–0.174 : 0.290],[0.066 : 0.546],[0.140 : 0.612],[–0.157 : 0.355],[0.049 : 0.497],[–0.245 : 0.297],
,MD peak height,–,–,–,–,–,–,–,0.209 (0.112)
,,,,,,,,,[–0.050 : 0.468]
,"Model sig. (P-value, Adj. R2)","<0.001, 0.433","<0.001, 0.345","<0.001, 0.299","<0.001, 0.319","0.001, 0.202","<0.001, 0.392","0.029, 0.108","0.004, 0.162"
