Unnamed: 0,All (n = =270),Mild WMH (n = =165),Severe WMH (n = =105),Dementia (n = =23)
Demographics,Demographics,Demographics,Demographics,Demographics
"Age, years",67.9 ± 7.8,65.3 ± 6.7,70.3 ± 7.9,78.6 ± 5.9
"Male sex, number of participants (%)",162 (59.6),82 (60.7),78 (57.8),14 (65.2)
MMSE score,28.4 ± 1.8,28.7 ± 1.4,28.1 ± 2.1,23.7 ± 3.7
"Education, years",10.1 ± 1.5,20.3 ± 1.4,9.8 ± 1.7,8.9 ± 2.1
Vascular risk factors,Vascular risk factors,Vascular risk factors,Vascular risk factors,Vascular risk factors
"Hypertension, number of participants (%)",162 (59.6),68 (50.4),93 (68.9),15 (65.2)
"Diabetes, number of participants (%)",37 (13.6),16 (11.9),21 (15.6),5 (21.7)
"Hypercholesterolemia, number of participants (%)",124 (45.6),55 (40.7),69 (51.1),13 (56.5)
"Smoking, ever, number of participants (%)",194 (71.3),93 (68.9),99 (73.3),18 (78.3)
"Alcohol, glasses/week",3.8 ± 4.0,4.1 ± 4.4,3.6 ± 3.6,2.0 ± 1.8
"Body mass index, kg/m2",27.8 ± 4.2,27.6 ± 4.3,28.1 ± 4.1,26.8 ± 3.3
Imaging characteristics,Imaging characteristics,Imaging characteristics,Imaging characteristics,Imaging characteristics
"Total brain volume, ml",1066.2 ± 77.7,1091.8 ± 68.5,1040.6 ± 78.3,967.8 ± 60.2
"Grey matter volume, ml",610.6 ± 50.1,626.4 ± 42.4,594.7 ± 52.2,551.8 ± 30.2
"White matter volume, ml",455.7 ± 44.0,465.4 ± 40.9,445.9 ± 45.1,416.0 ± 49.7
"WMH volume, ml",2.8 (1.3 – 7.8),1.3 (0.7 – 1.9),7.7 (4.2 – 18.2),9.3 5.3 – 27.0)
"Lacunes, number of participants (%)",69 (25.4),22 (16.3),47 (34.8),7 (30.4)
"Microbleeds, number of participants (%)",47 (17.3),20 (14.8),27 (20.0),8 (34.8)
"NAWM MD, 10−3 mm2/s",0.84 ± 0.04,0.82 ± 0.02,0.86 ± 0.04,0.90 ± 0.06
NAWM FA,0.38 ± 0.02,0.39 ± 0.16,0.37 ± 0.02,0.35 ± 0.03
