Variable,Univariate logistic regression,Univariate logistic regression,Multivariate logistic regression,Multivariate logistic regression
Variable,OR (95%CI),P value,OR (95%CI),P value
Gender,"2.319 (0.748,7.188)",0.145,,
APOE4,"4.645 (1.313, 16.431)",0.017*,,
Age (y),"1.097 (1.014, 1.186)",0.021*,,
Education,"1.052 (0.863, 1.282)",0.617,,
CDRS,"2.081 (1.045, 4.144)",0.037*,"2.104 (1.126,3.935)",0.02*
ADAS,"1.18 (1.043, 1.335)",0.009*,"1.244 (1.109,1.396)",< 0.001*
MMSE,"0.841 (0.618, 1.144)",0.27,,
SVM score,"1.439 (1.114, 1.808)",< 0.001*,"1.144 (0.726, 1.802)",< 0.001*
