Unnamed: 0,Task,Measures,Description,Dependent variable
ANT,"Computerized task in which target stimuli consisting of an arrow pointing left or right are presented on a computer screen. Children are instructed to respond as quickly as possible to the direction of a target stimulus by pressing the corresponding button. The ex‐Gaussian model was used to extract the influence of extreme slow responses (tau) on information processing speed (Fan et al., ???; Lacouture & Cousineau, ???; Rueda et al., ???)",Information processing,The speed of responding to target appearance,Mean reaction time (ms) on neutral trials
ANT,"Computerized task in which target stimuli consisting of an arrow pointing left or right are presented on a computer screen. Children are instructed to respond as quickly as possible to the direction of a target stimulus by pressing the corresponding button. The ex‐Gaussian model was used to extract the influence of extreme slow responses (tau) on information processing speed (Fan et al., ???; Lacouture & Cousineau, ???; Rueda et al., ???)",Tau,Lapses of attention,"The average of the exponential component of the fitted ex‐Gaussian curve, reflecting the influence of extremely slow responses (lapses of attention) on information processing"
ANT,"Computerized task in which target stimuli consisting of an arrow pointing left or right are presented on a computer screen. Children are instructed to respond as quickly as possible to the direction of a target stimulus by pressing the corresponding button. The ex‐Gaussian model was used to extract the influence of extreme slow responses (tau) on information processing speed (Fan et al., ???; Lacouture & Cousineau, ???; Rueda et al., ???)",Alerting attention,The speed of achieving an alert state,The difference in mean reaction time (ms) between central cue trials and no cue trials
ANT,"Computerized task in which target stimuli consisting of an arrow pointing left or right are presented on a computer screen. Children are instructed to respond as quickly as possible to the direction of a target stimulus by pressing the corresponding button. The ex‐Gaussian model was used to extract the influence of extreme slow responses (tau) on information processing speed (Fan et al., ???; Lacouture & Cousineau, ???; Rueda et al., ???)",Alerting attention,The accuracy of achieving an alert state,The difference in percentage of correct responses on central cue trials and no cue trials
ANT,"Computerized task in which target stimuli consisting of an arrow pointing left or right are presented on a computer screen. Children are instructed to respond as quickly as possible to the direction of a target stimulus by pressing the corresponding button. The ex‐Gaussian model was used to extract the influence of extreme slow responses (tau) on information processing speed (Fan et al., ???; Lacouture & Cousineau, ???; Rueda et al., ???)",Spatial attention,The speed of spatially orienting to information,The difference in mean reaction time (ms) between spatial cue trials and central cue trials
ANT,"Computerized task in which target stimuli consisting of an arrow pointing left or right are presented on a computer screen. Children are instructed to respond as quickly as possible to the direction of a target stimulus by pressing the corresponding button. The ex‐Gaussian model was used to extract the influence of extreme slow responses (tau) on information processing speed (Fan et al., ???; Lacouture & Cousineau, ???; Rueda et al., ???)",Spatial attention,The accuracy of spatially orienting to information,The difference in the percentage of correct responses on spatial cue trials and central cue trials
ANT,"Computerized task in which target stimuli consisting of an arrow pointing left or right are presented on a computer screen. Children are instructed to respond as quickly as possible to the direction of a target stimulus by pressing the corresponding button. The ex‐Gaussian model was used to extract the influence of extreme slow responses (tau) on information processing speed (Fan et al., ???; Lacouture & Cousineau, ???; Rueda et al., ???)",Interference control,The speed of suppressing irrelevant information,The difference in mean reaction time (ms) between incongruent trials and congruent trials
ANT,"Computerized task in which target stimuli consisting of an arrow pointing left or right are presented on a computer screen. Children are instructed to respond as quickly as possible to the direction of a target stimulus by pressing the corresponding button. The ex‐Gaussian model was used to extract the influence of extreme slow responses (tau) on information processing speed (Fan et al., ???; Lacouture & Cousineau, ???; Rueda et al., ???)",Interference control,The accuracy of suppressing irrelevant information,The difference in the percentage of correct responses on incongruent trials and congruent trials
DS,"Children are required to repeat a sequence of numbers presented auditorily in the order of presentation (forward condition) or reversed order (backward condition (WISC‐III; Wechsler, ???))",Verbal short‐term memory,The ability to hold verbal information in short‐term memory,"The product of the number of correct responses and the highest span reached in the forward condition (Kessels et al., ???)."
DS,"Children are required to repeat a sequence of numbers presented auditorily in the order of presentation (forward condition) or reversed order (backward condition (WISC‐III; Wechsler, ???))",Verbal working memory,The ability to manipulate verbal information in working memory,"The product of the number of correct responses and the highest span reached in the backward condition (Kessels et al., ???)"
GT,"A sequence of yellow dots is presented on a four by four digital grid. Children are required to repeat the sequence in the order of presentation (forward) or reversed order (backward) by clicking on the relevant locations in the grid (Nutley et al., ???)",Visuospatial short‐term memory,The ability to hold visuospatial information in short‐term memory,"The product of the number of correct responses and the highest span reached in the forward condition (Kessels et al., ???)"
GT,"A sequence of yellow dots is presented on a four by four digital grid. Children are required to repeat the sequence in the order of presentation (forward) or reversed order (backward) by clicking on the relevant locations in the grid (Nutley et al., ???)",Visuospatial working memory,The ability to manipulate visuospatial information in working memory,"The product of the number of correct responses and the highest span reached in the backward condition (Kessels et al., ???)"
SST,"A computerized task involved Go trials and Stop trials. Go trials consist of an airplane either pointing to the right or left side. Stop trials are identical to Go trials but with a stop signal superimposed on the airplane. Children are instructed to respond as quickly as possible to Go trials by pressing the corresponding button, and to inhibit the motor response when the stop signal is presented (Logan, ???)",Motor inhibition efficiency,The latency of an inhibitory process,The mean reaction time (ms) calculated for correct responses on go trials subtracted by the average stop signal delay time (ms)
