Unnamed: 0,bvFTD,svPPA,Healthy controls
General characteristics,,,
No.,29,15,37
Age (yrs),64 (7.1),65 (6.6),63 (7.8)
Sex (F:M),4:25,5:10,19:18
Symptom duration (years),7.8 (5.3),6.2 (1.9),
Neuropsychological assessment,,,
IQ,,,
WASI vocab (/80),40 (24),26 (24)???,71 (5.3)
WASI blocks (/48),23 (19),29 (19),46 (11.2)
WASI similarities (/71),22 (13),16 (16),46 (6.0)
WASI matrices (/32),15 (8.5),18 (8.7),27 (7.5)
NART (/50),26 (15),26 (16),42 (5.9)
Episodic memory,,,
RMT words (/50),35 (10),33 (6.0),48 (2.6)
RMT faces (/50),35 (8.0),34 (8.7),43 (4.5)
Semantic processing,,,
BPVS (/150),119 (35),76 (56)???,147 (2.1)
GNT (/30),11 (9.3),3.4 (5.8)???,26 (3.0)
Executive function,,,
D-KEFS Stroop inhibition (sec),137 (98)???,108 (70),55 (13)
Digit span reverse (/12),5.6 (2.9),6.1 (3.2),7.3 (1.9)
Social cognition — TASIT,,,
Emotion (/14),7.1 (2.9),5.8 (2.8),11 (1.3)
Total sarcasm (/24),13 (6.7)???,11 (5.9),22 (2.3)
Simple sarcasm (/12),7.4 (3.5),5 (3.5),10 (1.4)
Paradoxical sarcasm (/12),7 (2.9),5.7 (2.9),11 (1.3)
Other skills,,,
Digit span forward (/12),8.8 (1.6),6.8 (2.6),8.9 (1.7)
VOSP (/20),16 (3.8),15 (3.5),18 (1.6)
