Unnamed: 0,Overall,A‐T‐,A+T‐,A+T+,p‐value
N [baseline (longitudinal)],606 (223),410 (143),137 (49),59 (31),n.a.
Age [mean (SD)],64.93 (7.16),63.81 (6.99),65.69 (6.69),70.97 (6.12),<0.001
Sex [m (%)],230 (38.0),146 (35.6),55 (40.1),29 (49.2),0.11
"Total follow‐up time, years [mean (SD)]",1.33 (0.48),1.36 (0.49),1.28 (0.46),1.30 (0.48),0.61
CDR global score = 0.5 [n (%)],142 (23.4),71 (17.3),36 (26.3),35 (59.3),<0.001
MMSE score [mean (SD)],28.61 (1.72),28.85 (1.46),28.42 (2.01),27.44 (2.10),<0.001
APOE‐ε4 carriers [n (%)],221 (36.5),110 (26.8),69 (50.4),42 (71.2),<0.001
Framingham risk score [mean (SD)],14.35 (4.19),13.84 (4.19),14.73 (3.73),17.02 (4.14),<0.001
cSVD+ [n (%)],258 (42.6),156 (38.0),61 (44.5),41 (69.5),<0.001
Number of visits,,,,,0.07
1 visit [n (%)],383 (63.2),267 (65.1),88 (64.2),28 (47.4),
2 visits [n (%)],170 (28.1),105 (25.6),40 (29.2),25 (42.4),
3 visits [n (%)],53 (8.7),38 (9.3),9 (6.6),6 (10.2),
