Unnamed: 0,Genu of CC,Body of CC,Splenium of CC,Cingulum,Column and body of the fornix,Crus of the fornix,Superior long. fasc.,Inferior long. fasc.,Superior fronto‐occipital fasc.,Anterior limb of internal capsule,Posterior limb of internal capsule,Anterior corona radiata,Posterior corona radiata,Superior corona radiata
Age,−0.015; 0.02,−0.022; 0.002,−0.011; 0.14,−0.029; <0.001,−0.047; <0.001,−0.048; <0.001,−0.003; 0.64,−0.017; 0.02,−0.008; 0.31,−0.005; 0.51,0.005; 0.46,−0.029; <0.001,0.003; 0.65,−0.006; 0.42
Sex (m),0.085; 0.38,−0.084; 0.38,−0.053; 0.52,0.266; 0.01,−0.343; <0.001,−0.059; 0.47,−0.102; 0.38,−0.102; 0.38,0.089; 0.38,0.161; 0.22,−0.100; 0.38,−0.060; 0.47,−0.096; 0.38,−0.107; 0.38
A+T‐,/,−0.221; 0.03,/,−0.165; 0.09,−0.701; <0.001,−0.290; 0.03,−0.106; 0.27,−0.292; 0.007,−0.167; 0.08,/,−0.225; 0.03,−0.284; 0.005,−0.240; 0.03,−0.192; 0.06
A+T+,/,−0.117; 0.42,/,−0.300; 0.047,0.068; 0.75,0.210; 0.40,−0.332; 0.04,−0.309; 0.047,−0.242; 0.10,/,−0.344; 0.04,−0.302; 0.04,−0.364; 0.03,−0.434; 0.02
APOE‐ε4,/,/,−0.214; 0.21,/,−0.024; 0.86,−0.027; 0.86,/,0.143; 0.21,/,/,/,/,/,/
cSVD,−0.233; 0.009,−0.132; 0.36,−0.267; 0.02,/,−0.162; 0.046,0.107; 0.40,−0.365; <0.001,−0.262; 0.004,−0.596; <0.0001,−0.607; <0.001,/,−0.381; <0.0001,−0.304; 0.001,−0.214; 0.02
FRS,−0.007; 0.70,−0.006; 0.76,0.034; 0.045,−0.049; 0.005,−0.048; 0.01,−0.012; 0.60,/,/,−0.048; 0.03,−0.031; 0.05,−0.029; 0.07,−0.054; 0.001,/,−0.026; 0.10
APOE‐ε*A+T‐,/,/,/,/,0.271; 0.12,0.387; 0.06,/,/,/,/,/,/,/,/
APOE‐ε4*A+T+,/,/,/,/,−0.352; 0.18,−0.451; 0.18,/,/,/,/,/,/,/,/
APOE‐ε4*FRS,/,/,/,/,0.037; 0.15,/,/,/,/,/,/,/,/,/
APOE‐ε4*cSVD,/,/,0.254; 0.11,/,/,/,/,/,/,/,/,/,/,/
FRS*cSVD,/,−0.04; 0.14,/,/,/,−0.048; 0.14,/,/,0.044; 0.14,/,/,/,/,/
Time,−0.118; 0.02,−0.032; 0.42,−0.024; 0.79,/,−0.029; 0.49,−0.096; 0.04,−0.053; 0.01,−0.193; <0.001,/,0.011; 0.80,0.066; 0.03,0.071; 0.01,/,−0.001; 0.96
A+T‐*time,/,/,/,/,/,0.128; 0.15,/,0.025; 0.75,/,/,/,−0.086; 0.19,/,−0.053; 0.29
A+T+*time,/,/,/,/,/,−0.104; 0.22,/,−0.181; 0.07,/,/,/,−0.175; 0.009,/,−0.138; 0.01
APOE‐ε4*time,/,/,/,/,−0.095; 0.006,/,/,/,/,/,/,/,/,/
FRS*time,−0.026; 0.007,−0.01; 0.08,−0.023; 0.07,/,0.01; 0.07,/,/,/,/,/,/,/,/,/
cSVD*time,−0.081; 0.11,/,/,/,−0.047; 0.11,−0.096; 0.11,/,/,/,−0.090; 0.11,/,/,/,/
