Unnamed: 0,Genu of corpus callosum,Body of corpus callosum,Splenium of corpus callosum,Cingulum,Column and body of the fornix,Crus of the fornix,Superior long. fasc.,Inferior long. fasc.,Superior fronto‐occipital fasc.,Anterior limb of internal capsule,Posterior limb of internal capsule,Anterior corona radiata,Posterior corona radiata,Superior corona radiata
Age,0.045; <0.001,0.051; <0.001,0.037; <0.001,0.034; <0.001,0.055; <0.001,0.027; <0.001,0.029; <0.001,0.022; <0.001,0.039; <0.001,0.042; <0.0001,0.020; 0.001,0.043; <0.001,0.038; <0.001,0.036; <0.001
Sex (m),0.034; 0.69,0.226; 0.004,0.174; 0.03,−0.068; 0.46,0.226; 0.004,0.131; 0.14,0.222; 0.005,0.367; <0.001,0.166; 0.03,0.053; 0.53,0.164; 0.06,0.025; 0.72,0.291; <0.001,0.276; <0.001
A+T‐,/,/,/,0.230; 0.01,0.546; <0.001,/,0.253; 0.004,0.208; 0.02,/,0.205; 0.02,0.391; <0.001,0.190; 0.02,0.247; 0.004,0.279; 0.001
A+T+,/,/,/,0.314; 0.02,−0.214; 0.34,/,0.510; <0.001,0.339; 0.02,/,0.353; 0.02,0.427; 0.01,0.302; 0.02,0.255; 0.04,0.307; 0.02
APOE‐ε4,/,0.083; 0.54,0.238; 0.008,/,−0.032; 0.96,/,/,0.067; 0.96,0.125; 0.54,0.024; 0.96,−0.144; 0.32,/,/,/
cSVD,−0.045; 0.77,0.005; 0.97,−0.054; 0.77,0.117; 0.44,0.160; 0.05,0.210; 0.03,0.443; <0.001,0.380; <0.001,0.562; <0.001,0.480; <0.001,0.191; 0.046,0.254; 0.046,0.357; 0.006,0.496; <0.001
FRS,0.001; 0.95,0.005; 0.83,−0.029; 0.17,0.009; 0.76,0.036; 0.07,0.045; 0.01,0.031; 0.07,0.034; 0.11,0.026; 0.17,0.020; 0.40,0.050; 0.008,0.019; 0.34,0.005; 0.83,0.028; 0.07
APOE‐ε4*A+T‐,/,/,/,/,−0.212; 0.42,/,/,/,/,/,/,/,/,/
APOE‐ε4*A+T+,/,/,/,/,0.441; 0.08,/,/,/,/,/,/,/,/,/
APOE‐ε4*FRS,/,/,/,/,−0.027; 0.44,/,/,−0.025; 0.44,−0.013; 0.59,−0.037; 0.37,/,/,/,/
APOE‐ε4*cSVD,/,/,/,/,/,/,/,−0.106; 0.49,/,/,/,/,/,/
FRS*cSVD,0.058; 0.04,0.067; 0.03,0.053; 0.06,0.071; 0.03,/,/,/,/,/,0.037; 0.13,/,0.042; 0.10,0.039; 0.12,/
Time,−0.148; 0.001,0.045; 0.27,0.081; 0.13,/,0.024; 0.32,−0.135; 0.004,−0.088; 0.001,−0.120; 0.02,−0.167; 0.002,−0.021; 0.50,−0.069; 0.27,−0.076; 0.01,−0.034; 0.32,−0.037; 0.24
A+T‐*time,/,/,/,/,−0.050; 0.11,/,/,0.127; 0.06,/,/,/,0.082; 0.10,/,0.097; 0.06
A+T+*time,/,/,/,/,0.068; 0.15,/,/,0.248; 0.002,/,/,/,0.075; 0.18,/,0.078; 0.18
APOE‐ε4*time,/,0.066; 0.14,/,/,0.107; 0.02,/,/,0.176; 0.03,0.239; 0.01,/,/,/,/,/
FRS*time,0.014; 0.07,0.016; 0.07,/,/,0.001; 0.83,/,/,0.018; 0.07,0.029; 0.007,/,−0.018; 0.11,/,0.015; 0.07,/
cSVD*time,0.098; 0.03,/,0.098; 0.13,/,/,0.178; 0.005,0.098; 0.004,0.193; 0.001,0.168; 0.001,0.152; 0.002,0.095; 0.13,0.081; 0.03,0.157; 0.003,0.096; 0.01
APOE‐ε4*FRS*time,/,/,/,/,−0.021; 0.03,/,/,−0.040; 0.03,−0.042; 0.03,/,/,/,/,/
APOE‐ε4*cSVD*time,/,/,/,/,/,/,/,−0.218; 0.02,/,/,/,/,/,/
FRS*cSVD*time,/,/,/,/,/,/,/,/,/,/,/,/,−0.016; 0.13,/
