Unnamed: 0,MNI coordinatesx y z,Peak T value,k (mm3)
T-Tau & Fractional Anisotropy,×,×,×
T-Tau & Mean Diffusivity,T-Tau & Mean Diffusivity,T-Tau & Mean Diffusivity,T-Tau & Mean Diffusivity
R Parietal Lobe WM,"26, −59, 42",7.89,13890
R Medial Frontal Gyrus,"16, 7, 52",6.37,478
L Middle Frontal Gyrus,"−24, 43, −14",5.83,259
R Middle Temporal Gyrus,"58, −42, −1",5.33,159
"L Frontal Lobe, WM","−18, −4, 59",5.25,154
R Corpus Callosum,"12, −45, 12",5.23,414
R Medial Frontal WM,"12, 46, −18",5.21,207
L Superior Temporal Gyrus WM,"−60, −23, 7",4.73,112
"R Lentiform Nucleus, Putamen","26, −9, 7",4.45,256
R Superior Temporal Gyrus WM,"60, −24, −1",4.39,145
L Temporal Lobe WM,"−52, −13, −21",4.37,143
L Inferior Frontal Gyrus,"−40, 25, 3",4.25,56
R Fusiform WM,"38, −71, −21",4.06,83
R Entorhinal WM,"20, 11, −28",3.99,110
R Lingual Gyrus,"28, −61, −4",3.96,74
R Middle Temporal Gyrus,"46, −63, −6",3.91,52
L Inferior Parietal Lobule,"−52, −41, 40",3.75,63
P-Tau & Fractional Anisotropy,×,×,×
P-Tau & Mean Diffusivity,×,×,×
Aβ42 & Fractional Anisotropy,Aβ42 & Fractional Anisotropy,Aβ42 & Fractional Anisotropy,Aβ42 & Fractional Anisotropy
"L,R Medial Frontal Gyrus",0 11 −24,6.27,66
Aβ42 & Mean Diffusivity,×,×,×
T-Tau/Aβ42 & Fractional Anisotropy,×,×,×
T-Tau/Aβ42 & Mean Diffusivity,T-Tau/Aβ42 & Mean Diffusivity,T-Tau/Aβ42 & Mean Diffusivity,T-Tau/Aβ42 & Mean Diffusivity
L Temporal Lobe WM,−44 −36 −13,7.71,11374
R Uncus,20 9 −27,6.11,286
L Middle Frontal Gyrus WM,−22 43 −12,5.69,257
R Insula WM,36 26 11,5.50,229
R Supramarginal Gyrus WM,44 −39 39,5.17,225
R Medial Frontal Gyrus WM,12 46 −16,5.09,204
R Middle Temporal Gyrus,58 −42 −1,5.07,126
L Superior Temporal Gyrus,−42 13 −22,5.05,157
L Putamen,−24 14 0,5.01,100
R Middle Temporal Gyrus,48 −63 −4,4.87,105
R Superior Temporal Gyrus WM,58 −24 5,4.68,154
L Superior Temporal Gyrus WM,−62 −21 7,4.54,109
R Temporal Lobe WM,42 −6 −31,4.48,209
L Superior Temporal Gyrus WM,−62 −43 14,4.41,99
R Superior Occipital Gyrus WM,34 −77 26,4.23,409
R Occipital Lobe WM,28 −59 −4,4.20,87
R Middle Temporal Gyrus WM,56 −14 −16,4.04,76
R Precentral Gyrus WM,34 −22 51,3.91,100
L Frontal Lobe WM,−30 −35 39,3.82,100
"R Cerebellum, Anterior Lobe",24 −37 −21,3.78,118
R Putamen,28 −10 3,3.76,82
P-Tau/Aβ42 & Fractional Anisotropy,×,×,×
P-Tau/Aβ42 & Mean Diffusivity,×,×,×
NFL & Fractional Anisotropy,NFL & Fractional Anisotropy,NFL & Fractional Anisotropy,NFL & Fractional Anisotropy
L Middle Temporal Gyrus WM,−42 −65 11,6.66,40
NFL & Mean Diffusivity,–,–,–
