Metric,Region of interest,NC (n = 15),aMCI (n = 12),AD (n = 14),NC v. aMCI,aMCI v. AD,NC v. AD
Metric,Region of interest,Mean ± SD,Mean ± SD,Mean ± SD,p-Value,p-Value,p-Value
AWF,Early-myelinating,0.42 ± 0.02,0.42 ± 0.01,0.41 ± 0.03,0.77,0.2,0.65
AWF,ICp,0.42 ± 0.02,0.42 ± 0.02,0.41 ± 0.03,0.95,0.58,0.86
AWF,CP,0.42 ± 0.02,0.43 ± 0.01,0.41 ± 0.04,0.64,0.1,0.56
AWF,Late-myelinating**,0.38 ± 0.03,0.37 ± 0.02,0.34 ± 0.04,1.0,0.02,0.02
AWF,SLF**,0.40 ± 0.03,0.40 ± 0.03,0.37 ± 0.05,0.99,0.01,0.01
AWF,ILF*,0.35 ± 0.03,0.34 ± 0.03,0.32 ± 0.04,1.0,0.08,0.05
Daxon[μm2/ms],Early-myelinating,0.84 ± 0.05,0.86 ± 0.05,0.87 ± 0.08,0.72,1.0,0.58
Daxon[μm2/ms],ICp,0.82 ± 0.07,0.84 ± 0.07,0.86 ± 0.09,0.9,0.81,0.37
Daxon[μm2/ms],CP,0.87 ± 0.06,0.89 ± 0.03,0.87 ± 0.09,0.58,0.8,0.98
Daxon[μm2/ms],Late-myelinating,0.88 ± 0.07,0.87 ± 0.05,0.83 ± 0.05,0.95,0.23,0.06
Daxon[μm2/ms],SLF**,0.89 ± 0.08,0.87 ± 0.08,0.79 ± 0.09,0.97,0.04,< 0.01
Daxon[μm2/ms],ILF,0.88 ± 0.08,0.86 ± 0.04,0.87 ± 0.05,0.97,0.98,1.00
"De,∥[μm2/ms]",Early-myelinating**,2.16 ± 0.15,2.27 ± 0.08,2.29 ± 0.09,0.05,0.94,0.01
"De,∥[μm2/ms]",ICp*,2.01 ± 0.14,2.11 ± 0.07,2.13 ± 0.09,0.09,0.96,0.02
"De,∥[μm2/ms]",CP*,2.30 ± 0.17,2.43 ± 0.09,2.45 ± 0.11,0.07,0.94,0.02
"De,∥[μm2/ms]",Late-myelinating**,2.17 ± 0.10,2.22 ± 0.06,2.29 ± 0.11,0.51,0.11,< 0.01
"De,∥[μm2/ms]",SLF,2.02 ± 0.08,2.05 ± 0.06,2.05 ± 0.09,0.84,0.98,0.59
"De,∥[μm2/ms]",ILF**,2.31 ± 0.16,2.39 ± 0.12,2.53 ± 0.15,0.54,0.04,< 0.01
"De,⊥[μm2/ms]",Early-myelinating*,0.93 ± 0.09,0.99 ± 0.09,1.04 ± 0.13,0.41,0.37,0.01
"De,⊥[μm2/ms]",ICp,0.83 ± 0.08,0.88 ± 0.09,0.91 ± 0.13,0.61,0.64,0.08
"De,⊥[μm2/ms]",CP**,1.02 ± 0.11,1.10 ± 0.10,1.16 ± 0.16,0.39,0.29,< 0.01
"De,⊥[μm2/ms]",Late-myelinating**,1.10 ± 0.08,1.16 ± 0.07,1.29 ± 0.19,0.64,0.01,< 0.01
"De,⊥[μm2/ms]",SLF**,1.06 ± 0.07,1.09 ± 0.04,1.18 ± 0.17,0.92,0.02,< 0.01
"De,⊥[μm2/ms]",ILF**,1.15 ± 0.10,1.24 ± 0.13,1.40 ± 0.23,0.54,0.03,< 0.01
