Unnamed: 0,Controls,m&lCAP,hCAP,p,p1,p2,p3
Gender (Male/Female),14 (5/9),8 (2/6),14 (6/8),0.703,,,
Age at enrollment (mean±SD),46.57±10.99,32.75±10.36,47.07±10.66,0.009,0.019,1.0,0.015
Educational background,14.00±3.80,15.22±3.153,12.08±3.3,0.874,,,
BMI,23.10 (6.45),22.30 (4.65),21.55 (2.97),0.121,,,
STIT,37.86±6.56,36.57±15.37*,21.14±11.17,0.0004,1.0,0.0006,0.011
SDMT,47.07±12.86,47.14±18.51*,24.77±11.66*,0.0003,1.0,0.0005,0.005
CFT,20.50±2.30,17.43±8.02*,10.54±5.52*,0.0001,0.677,0.0001,0.03
BDI-II,7.50 (5.00),2.00 (16.00)*,8.00 (9.00),0.362,,,
MMSE,30.00 (1.00),28.00 (7.00)*,27.00 (7.00),0.01,0.292,0.001,0.446
CAP,,286.26±52.22,598.00±133.60,,,,4e-05
TFC,,12.38±1.56,9.14±3.28,,,,0.005
