Variable,value
"Age in years, mean (SD)",51.6 (10.5)
"Age ≥ 65 years, n (%)",37 (10.9)
"Female, n (%)",140 (41.4)
"Current smoker, n (%)",69 (20.3)
"Hypertension, n (%)",80 (23.6)
"Diabetes mellitus, n (%)",36 (10.7)
"History of cardiovascular disease, n (%)",16 (4.7)
"EKG-atrial fibrillation, n (%)",1 (0.3)
"EKG-LVH, n (%)",27 (7.9)
"FSRP score (%), mean (SD)",4.9 (5.1)
"Systolic BP (mm Hg), mean (SD)",121.5 (20.3)
"Diastolic BP (mm Hg), mean (SD)",73.3 (11.8)
"BMI (kg/m2), mean (SD)",24.2 (3.2)
"Hb (gm/dl), mean (SD)",14.5 (1.5)
"Fasting blood glucose (mg/dl), mean (SD)",93.9 (18.1)
"hs-CRP (mg/dl), mean (SD)",0.3 (0.5)
"Total homocysteine (μmol /L), mean (SD)",8.6 (2.4)
"Creatinine (mg/dl), mean (SD)",0.8 (0.2)
"ARWMC-total score, median",0
MRI volumetric measures,
"FA, mean (SD)",0.26 (0.01)
"MD (x10–5 mm2/s), mean (SD)",76.8 (3.2)
"AD (x10–5 mm2/s), mean (SD)",97.7 (4.0)
"TD (x10–5 mm2/s), mean (SD)",66.5 (2.9)
