Unnamed: 0,Gender,BMI,Log(FSRP score),Total homocysteine,Log(hs-CRP),Hb,Creatinine,Log(ARWMC-total score),FA,MD,AD,TD
Age,-0.04,0.10,0.41???,0.14,0.15???,-0.13,0.03,0.37???,-0.24???,0.32???,0.25???,0.36???
Gender,,0.22???,0.60???,0.45???,0.11,0.68???,0.56???,-0.06,0.16???,0.10,0.12,0.08
BMI,,,0.27???,0.14???,0.35???,0.16???,0.11,0.07,0.09,0.01,0.01,0.01
Log(FSRP score),,,,0.37???,0.16???,0.37???,0.37???,0.26???,-0.09,0.34???,0.30???,0.35???
Total homocysteine,,,,,0.11,0.28???,0.34???,0.01,0.08,0.33???,0.36???,0.31???
Log(hs-CRP),,,,,,0.06,-0.03,0.06,0.08,0.02,0.02,0.01
Hb,,,,,,,0.36???,-0.09,0.16???,-0.03,-0.01,-0.04
Creatinine,,,,,,,,-0.01,0.07,0.03,0.03,0.03
Log(ARWMC-total score),,,,,,,,,-0.24???,0.29???,0.24???,0.32???
FA,,,,,,,,,,-0.31???,-0.09,-0.45???
MD,,,,,,,,,,,0.97???,0.99???
AD,,,,,,,,,,,,0.92???
