Unnamed: 0_level_0,PD,HC,p‐value,p‐value,p‐value
Variable,(mean ± SD),(mean ± SD),(PD vs HC),(PDL vs PDR),(HCL vs HCR)
ADL,1.17 × 10−3 ± 6.94 × 10−5,1.13 × 10−3 ± 6.76 × 10−5,2e-05,4.67e‐16,1.43e‐07
ADR,1.1 × 10−3 ± 5.76 × 10−5,1.08 × 10−3 ± 5.93 × 10−5,0.0178,—,—
FAL,4.06 × 10−1 ± 2.59 × 10−2,4.03 × 10−1 ± 3.07 × 10−2,0.5149,1.24e‐04,4.13e‐03
FAR,4.19 × 10−1 ± 2.96 × 10−2,4.17 × 10−1 ± 3.35 × 10−2,0.5149,—,—
MDL,8.21 × 10−4 ± 5.12 × 10−5,7.89 × 10−4 ± 4.48 × 10−5,0.0,2.32e‐19,1.57e‐13
MDR,7.63 × 10−4 ± 4.45 × 10−5,7.42 × 10−4 ± 3.64 × 10−5,0.0002,—,—
RDL,6.49 × 10−4 ± 4.72 × 10−5,6.21 × −4 ± 3.91 × 10−5,0.0,5.48e‐19,4.68e‐15
RDR,5.95 × 10−4 ± 4.27 × 10−5,5.76 × −4 ± 3.36 × 10−5,0.0002,—,—
