Characteristic,"Overall, N = 26,902???","AECD, N = 2,408???","ADNI2, N = 37???","ADNI3, N = 331???","HOP, N = 209???","OASIS3, N = 115???","PING, N = 535???","PPMI, N = 67???","PPMI, N = 67???.1","QTIM, N = 320???","UKB, N = 22,880???"
Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age
Mean,58,11,74,73,29,71,12,62,62,23,64
Range,3 – 85,9 – 14,61 – 85,55 – 84,22 – 36,43 – 85,3 – 21,31 – 81,31 – 81,18 – 29,45 – 82
Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex,Sex
F,"14,026 (52%)","1,119 (46%)",21 (57%),194 (59%),109 (52%),60 (52%),239 (45%),26 (39%),26 (39%),207 (65%),"12,051 (53%)"
M,"12,876 (48%)","1,289 (54%)",16 (43%),137 (41%),100 (48%),63 (48%),296 (55%),41 (61%),41 (61%),113 (35%),"10,829 (47%)"
e4_count,e4_count,e4_count,e4_count,e4_count,e4_count,e4_count,e4_count,e4_count,e4_count,e4_count,e4_count
0,"18,863 (70%)","1,697 (70%)",24 (65%),222 (67%),154 (74%),75 (65%),422 (79%),47 (70%),47 (70%),238 (74%),"15,984 (70%)"
1,"7,373 (27%)",663 (28%),13 (35%),100 (30%),49 (23%),37 (32%),111 (21%),19 (28%),19 (28%),75 (23%),"6,306 (28%)"
2,666 (2.5%),48 (2.0%),0 (0%),9 (2.7%),6 (2.9%),3 (2.6%),2 (0.4%),1 (1.5%),1 (1.5%),7 (2.2%),590 (2.6%)
