Characteristics,CN,LI,LI-Non MCI,LI-MCI,t/c2,P1,F/c2,P2
Unnamed: 0_level_1,(n= 14),(n= 30),(n= 13),(n= 17),Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1
Gender(male/female),6/8,19/11,9/4,10/7,1.63,0.33,1.96,0.38
Age(years),60.64±7.81,62.40±8.67,64.15±7.79,61.06±9.23,0.65,0.52,0.71,0.50
Education(years),11.21±3.87,9.73±2.86,10.85±2.67,8.88±2.78,1.43,0.16,2.51,0.09
Hypertension,6,26,10,16,9.24,0.004,10.35,0.01
Diabetes Mellitus,3,12,4,8,1.47,0.31,2.34,0.31
Daily Smoker,6,12,4,8,0.01,0.93,1.1,0.58
Drinking,5,10,3,7,0.02,0.88,1.1,0.58
Systolic BP(mmHg),126.78±10.48,136.17±10.47,135.00±11.55,137.06±9.85,1.89,0.08,2.56,0.09
Diastolic BP(mmHg),80.71±9.97,82.33±8.28,81.92±9.02,62.65±7.93,0.57,0.57,0.18,0.84
LDL(mmol/L),2.49±0.69,2.63±0.67,2.49±1.17,2.74±0.66,0.61,0.55,0.68,0.51
FBS(mmol/L),5.45±0.80,5.95±1.57,5.56±1.17,6.25±1.79,1.12,0.27,1.61,0.21
Lacune Count,,2.63±1.52,2.69±1.60,2.58±1.50,0.03,0.86,,
Lacune location,,,,,4.53,0.1,,
Anterior,,22,12,10,,,,
Thalamic,,3,0,3,,,,
Posterior,,5,1,4,,,,
MMSE,28.93±0.92,27.70±2.00,28.31±1.70,27.24±2.14,2.79,0.01,3.95,0.03
MoCA,25.64±1.55,24.10+3.18,27.00±1.29,21.88±2.23,2.17,0.04,33.75,<0.01
CDT,4.0±0,3.67±0.90,4.00±0,3.06±1.03,3.25,0.003,11.18,<0.01
Symbol digit modalities test,33.64±6.61,29.9±11.72,35.62±11.57,25.53±10.09,1.11,0.27,4.76,0.01
Digit span total numbers recalled,6.50±1.40,6.43±1.43,7.07±1.44,5.94±1.25,0.15,0.89,2.6,0.09
Reversed digit span total numbers recalled,4.14±0.95,3.97±0.96,4.46±0.52,3.59±1.06,0.57,0.57,3.67,0.03
Verbal fluency test,27.71±5.95,24.80±6.17,28.54±5.85,21.94±4.83,1.48,0.15,6.61,<0.01
RAVLT,,,,,,,,
Immediate recall,5.83±1.32,5.62±1.63,6.20±1.12,5.18±1.84,0.42,0.68,1.82,0.18
Delayed recall (after 5min),6.64±1.50,5.27±2.89,5.85±2.82,4.82±2.94,1.67,0.1,2.01,0.15
Delayed recall (after 20min),6.79±2.36,5.57±3.55,7.08±3.50,4.41±3.22,1.17,0.25,3.54,0.04
Word recognition,22.93±1.59,22.27±1.68,23.46±1.05,21.35±1.50,1.24,0.22,9.23,<0.01
TMT-A (sec),75.43±20.39,87.21±40.23,83.08±33.99,90.37±45.19,1.03,0.31,0.68,0.51
TMT-B (sec),145.36±43.60,171.06±53.70,144.31±32.71,191.51±58.29,1.56,0.13,5.07,0.01
HAMD-17,1.14±1.10,1.10±1.53,0.92±1.80,1.18±1.33,0.17,0.87,0.13,0.88
