Unnamed: 0_level_0,CN,LI,Unnamed: 3_level_0,F,P
Unnamed: 0_level_1,(n= 14),LI-No (n= 13),LI-MCI (n= 17),Unnamed: 4_level_1,Unnamed: 5_level_1
FA,,,,,
"Retrolenticular part of internal capsule, left",0.48±0.04,0.50±0.04,0.46±0.05,3.93,0.03
"Posterior thalamic radiation, left",0.46±0.03,0.47±0.04,0.43±0.04,4.21,0.02
"Sagittal stratum, left",0.42±0.03,0.44±0.04,0.39±0.05,5.5,0.01
"External capsule, right",0.33±0.03,0.34±0.03,0.30±0.04,4.11,0.02
"Cingulum (cingulated gyrus), left",0.31±0.02,0.33±0.04,0.29±0.04,3.53,0.04
"Cingulum (hippocampus), left",0.27±0.03,0.27±0.05,0.24±0.04,3.44,0.04
"Inferior fronto-occipital fasciculus, right",0.39±0.03,0.41±0.04,0.36±0.05,4.95,0.01
"Inferior fronto-occipital fasciculus, left",0.37±0.04,0.39±0.04,0.35±0.04,3.7,0.03
"Uncinate fasciculus, right",0.41±0.03,0.44±0.05,0.39±0.06,4.42,0.02
"Anterior thalamic radiation, right",0.33±0.03,0.33±0.04,0.29±0.04,3.4,0.04
"Corticospinal tract, right",0.50±0.03,0.52±0.04,0.47±0.05,3.83,0.03
"Inferior fronto-occipital fasciculus, left",0.38±0.02,0.39±0.03,0.35±0.04,4.96,0.01
"Inferior longitudinal fasciculus, left",0.38±0.03,0.39±0.03,0.36±0.04,4.18,0.02
"Uncinate fasciculus, left",0.35±0.03,0.37±0.03,0.33±0.04,3.86,0.03
"Uncinate fasciculus, right",0.35±0.03,0.37±0.04,0.33±0.04,6.05,0.01
MD,,,,,
"inferior fronto-occipital fasciculus, right",0.89*10-3±0.06*10-3,0.87*10-3±0.06*10-3,0.94*10-3±0.09*10-3,3.98,0.03
"uncinate fasciculus, right",0.87*10-3±0.05*10-3,0.87*10-3±0.06*10-3,0.97*10-3±0.16*10-3,4.56,0.02
