Characteristics,CN,LI-Non MCI,LI-MCI,F,P
Unnamed: 0_level_1,(n= 14),(n= 13),(n= 17),Unnamed: 4_level_1,Unnamed: 5_level_1
Average total error,,,,,
AEV,34.22±15.67,33.80±18.56,45.51±27.59,1.45,0.25
EV,49.41±37.71,45.67±29.59,80.85±49.97,3.46,0.04
AV,41.09±21.63,36.65±18.46,64.01±53.91,2.42,0.1
DV,22.93±8.44,27.75±15.04,64.22±58.47,5.62,0.01
Average duration,,,,,
AEV,10.00±3.10,10.02±2.40,8.47±2.65,1.65,0.21
EV,9.84±4.25,10.59±5.09,10.57±7.51,0.08,0.93
AV,10.40±3.77,13.13±4.77,10.13±6.49,1.39,0.26
DV,7.68±3.30,9.93±4.01,16.18±36.16,0.59,0.56
Average angular deviation,,,,,
AEV,7.44±4.90,7.06±5.01,10.68±7.63,1.64,0.21
EV,13.38±11.84,8.58±4.90,31.26±54.69,1.81,0.18
AV,8.26±5.11,7.17±4.56,27.8±63.83,1.32,0.28
Average distance deviation,,,,,
AEV,21.96±10.50,13.73±7.67,20.53±9.37,3.03,0.06
EV,22.10±11.36,17.91±6.32,21.81±10.38,0.79,0.46
AV,23.63±12.74,19.54±8.61,26.89±16.67,1.08,0.35
