Unnamed: 0_level_0,SIVD,SIVD,SIVD,AD,AD,AD
Unnamed: 0_level_1,All (n = 24),CDR = 0.5 (n = 14),CDR =1 ~ 2 (n = 10),All (n = 32),CDR = 0.5 (n = 21),CDR = 1 ~ 2 (n = 11)
MMSE£££ ǂ $$$,19.08 ± 5.04,21.07 ± 4.34,16.30 ± 4.79,21.03 ± 4.67,22.90 ± 3.75,17.45 ± 4.25
CASI£££ ǂ $$$,61.04 ± 14.78,67.21 ± 13.16,52.40 ± 12.87,67.19 ± 15.20,73.29 ± 13.12,55.55 ± 12.04
Total score,6.42 ± 5.72,5.71 ± 6.33,7.40 ± 4.88,6.88 ± 8.87,5.19 ± 5.39,10.09 ± 12.98
Hyperactivity,0.51 ± 0.82,0.48 ± 0.94,0.55 ± 0.67,0.45 ± 0.89,0.18 ± 0.29,0.98 ± 1.35
Agitation,0.50 ± 1.45,0.64 ± 1.74,0.30 ± 0.95,0.38 ± 1.19,0.00 ± 0.00,1.09 ± 1.87
Disinhibition,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.19 ± 1.06,0.00 ± 0.00,0.55 ± 1.81
Irritability,1.21 ± 1.82,1.29 ± 2.16,1.10 ± 1.29,0.91 ± 1.59,0.71 ± 1.15,1.27 ± 2.24
Aberrant motor behavior,0.33 ± 1.63,0.00 ± 0.00,0.80 ± 2.53,0.34 ± 1.15,0.00 ± 0.00,1.00 ± 1.84
Psychosis,0.58 ± 0.78,0.57 ± 0.86,0.60 ± 0.68,0.79 ± 1.19,0.65 ± 0.75,1.06 ± 1.78
Delusion£,0.21 ± 0.72,0.00 ± 0.00,0.50 ± 1.08,0.63 ± 1.91,0.00 ± 0.00,1.82 ± 2.99
Hallucination,0.08 ± 0.41,0.00 ± 0.00,0.20 ± 0.63,0.31 ± 1.15,0.10 ± 0.44,0.73 ± 1.85
Night-time behavior,1.46 ± 2.27,1.71 ± 2.59,1.10 ± 1.79,1.44 ± 1.97,1.86 ± 2.10,0.64 ± 1.43
Affective,0.63 ± 1.10,0.79 ± 1.25,0.40 ± 0.84,1.08 ± 1.41,1.05 ± 1.40,1.14 ± 1.50
Depression,0.58 ± 1.25,0.57 ± 1.22,0.60 ± 1.35,0.88 ± 1.50,0.76 ± 1.14,1.09 ± 2.07
Anxiety,0.67 ± 1.52,1.00 ± 1.88,0.20 ± 0.63,1.28 ± 2.33,1.33 ± 2.20,1.18 ± 2.68
Apathy £ǂǂ,0.65 ± 0.89,0.25 ± 0.80,1.20 ± 0.72§§,0.23 ± 0.51,0.21 ± 0.46,0.27 ± 0.61§§
Apathy ££ǂǂ,0.96 ± 1.43*,0.07 ± 0.27,2.20 ± 1.48§§,0.25 ± 0.62*,0.29 ± 0.72,0.18 ± 0.41§§
Eating abnormalities,0.33 ± 1.27,0.43 ± 1.60,0.20 ± 0.63,0.22 ± 0.87,0.14 ± 0.66,0.36 ± 1.21
