Unnamed: 0_level_0,Unnamed: 1_level_0,Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy,Mean Diffusivity,Mean Diffusivity,Mean Diffusivity
Unnamed: 0_level_1,Neuropsychiatric Inventory,Genu,Body,Splenium,Genu,Body,Splenium
Total patients (n = 56),Total score,0.05,−0.20,−0.27*,−0.06,0.32*,0.38**ǂ
Total patients (n = 56),Hyperactivity,−0.01,−0.20,−0.19,−0.01,0.29*,0.27*
Total patients (n = 56),Psychosis,0.02,−0.16,−0.34*,0.01,0.27*,0.42**ǂ
Total patients (n = 56),Affective,0.23,0.06,0.04,−0.20,0.04,0.06
Total patients (n = 56),Apathy,−0.10,−0.26,−0.25,0.04,0.29*,0.27*
SIVD patients (n = 24),Total score,0.12,−0.36,−0.40,−0.30,0.37,0.43*
SIVD patients (n = 24),Hyperactivity,0.03,−0.31,−0.16,−0.20,0.28,0.19
SIVD patients (n = 24),Psychosis,0.03,−0.32,−0.49*ǂǂ,−0.10,0.27,0.42*ǂ
SIVD patients (n = 24),Affective,0.33,0.07,0.03,−0.31,0.03,0.06
SIVD patients (n = 24),Apathy,−0.02,−0.14,−0.32,−0.14,0.17,0.32
AD patients (n = 32),Total score,0.01,−0.16,−0.24,0.07,0.46**,0.40*ǂ
AD patients (n = 32),Hyperactivity,−0.02,−0.08,−0.21,0.09,0.36*,0.33
AD patients (n = 32),Psychosis,−0.05,−0.17,−0.34,0.11,0.50**,0.49**ǂ
AD patients (n = 32),Affective,0.08,−0.10,−0.02,−0.06,0.24,0.14
AD patients (n = 32),Apathy,0.05,−0.24,−0.02,0.01,0.29,0.11
