Unnamed: 0_level_0,Clinical factors,Clinical factors,Clinical factors,Clinical factors,Clinical factors,Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy,Mean Diffusivity,Mean Diffusivity,Mean Diffusivity,Mean Diffusivity,Mean Diffusivity,Mean Diffusivity,Mean Diffusivity,Mean Diffusivity,Mean Diffusivity,Mean Diffusivity,Mean Diffusivity,Mean Diffusivity,Mean Diffusivity,Mean Diffusivity,Mean Diffusivity,Unnamed: 36_level_0
Unnamed: 0_level_1,Age,CASI,CDR,HIS,Fazekas scale,GCC,BCC,SCC,RSLF,LSLF,Rfminor,Lfminor,Rfmajor,Lfmajor,Ratr,Latr,Runc,Lunc,RILF,LILF,GCC,BCC,SCC,RSLF,LSLF,Rfminor,Lfminor,Rfmajor,Lfmajor,Ratr,Latr,Runc,Lunc,RILF,LILF,R2
All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56),All patients (n = 56)
Hyperactivity,,,,,,,,,,−.320,,,,,,,,,,,,,,,,,,,,,,,,,,.102
Psychosis,,,,,,.316,,,,,,,,.296,,,,,,,,,.524,,,,,,,,,,.312,,,.390
Affective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apathy,,,.267,,,,,,,,,,,,,,,,,,,,,.436,,,,,,,,,,,,.294
SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24),SIVD group (n = 24)
Hyperactivity,,,,,,,,,,,,,,,,,,,,,,,,,.651,,,,,,,,,,,.424
Psychosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.490,,,.240
Affective,,,,.347,,,,,,,,,.384,,,,−.806,,,,−.684,,,,,,,,,,,,,,,.721
Apathy,,,.546,,,,,,−.454,,,.357,,,,,,,−.473,,,,,,,.309,,,,,,,,,,.815
AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32),AD group (n = 32)
Hyperactivity,,,.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA\,,NA\,,−.475,.401
Psychosis,,,,,,,,,,,,,,.539,,,,,,,,.369,,,,,.450,,,,−.300,,,,,.585
Affective,,,,,,,,,,,,,,,,,,,.415,,,,,,,,,,,,,,,,,.172
Apathy,,,,,,,,,,,,,,,,,,,,,,,,,.507,,,,,,,,,,,.257
