SCD versus controls,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0
β coefficient,Frequency (%),Diffusivity measure and region,Mean tract diffusivity value,Mean tract diffusivity value
Unnamed: 0_level_2,Unnamed: 1_level_2,Unnamed: 2_level_2,Patient,Controls
–0.372,100,MO retrolenticular part of internal capsule,0.225,0.233
–0.302,96,MO posterior thalamic radiation L,0.217,0.227
–0.260,93,MO posterior limb of internal capsule R,0.172,0.176
–0.237,91,MO fornix/stria terminalis R,0.113,0.124
–0.239,91,MO uncinate fasciculus L,0.114,0.120
Aβ42/40-ratio positive SCD versus Aβ42 negative controls,Aβ42/40-ratio positive SCD versus Aβ42 negative controls,Aβ42/40-ratio positive SCD versus Aβ42 negative controls,Aβ42/40-ratio positive SCD versus Aβ42 negative controls,Aβ42/40-ratio positive SCD versus Aβ42 negative controls
,,–1,,
MCI versus controls,MCI versus controls,MCI versus controls,MCI versus controls,MCI versus controls
–0.023,100,MO medial lemniscus R,0.207,0.219
Aβ42/40-ratio positive MCI versus Aβ42 negative controls,Aβ42/40-ratio positive MCI versus Aβ42 negative controls,Aβ42/40-ratio positive MCI versus Aβ42 negative controls,Aβ42/40-ratio positive MCI versus Aβ42 negative controls,Aβ42/40-ratio positive MCI versus Aβ42 negative controls
,,–2,,
