WM tracts,p*,Significant voxels (%)**
Body of corpus callosum,0.033,58.67
Tapetum R,0.042,43.24
Posterior corona radiata R,0.037,39.07
Retrolenticular part of internal capsule R,0.04,33.12
Posterior thalamic radiation (include optic radiation) L,0.043,31.67
Superior corona radiata R,0.032,30.6
Anterior corona radiata R,0.028,28.81
Splenium of corpus callosum,0.035,26.91
Cingulum (cingulate gyrus) L,0.039,22.76
Superior longitudinal fasciculus R,0.043,21.11
Superior corona radiata L,0.037,20.35
Genu of corpus callosum,0.035,19.11
Posterior corona radiata L,0.034,18.16
Cingulum (cingulate gyrus) R,0.035,16.99
Fornix (cres)/Stria terminalis L,0.043,14.29
Posterior thalamic radiation (include optic radiation) R,0.041,11.85
Posterior limb of internal capsule R,0.041,8.51
Anterior corona radiata L,0.037,8.49
Superior longitudinal fasciculus L,0.043,6.17
