pmcid,coordinate_space
3053228,MNI
4444480,MNI
5461938,MNI
8258736,UNKNOWN
3669206,MNI
7683078,MNI
4418835,UNKNOWN
5428287,MNI
10481508,MNI
4240303,MNI
11656998,UNKNOWN
5346640,MNI
10559725,MNI
11294966,UNKNOWN
7909688,MNI
6918918,MNI
9927845,MNI
5334426,MNI
6296345,UNKNOWN
6706343,MNI
8921113,MNI
4630483,MNI
8381344,MNI
6535714,MNI
7363568,MNI
11564857,MNI
7267920,MNI
5683343,UNKNOWN
4361402,MNI
4236070,MNI
4053642,MNI
8435601,MNI
2842443,UNKNOWN
3285682,MNI
4863525,UNKNOWN
4206159,MNI
3715470,UNKNOWN
11187968,UNKNOWN
4137565,MNI
3853114,MNI
7591030,MNI
7719770,UNKNOWN
8044349,UNKNOWN
3368882,UNKNOWN
6933911,MNI
4354903,MNI
3184226,MNI
8453576,MNI
6514143,MNI
5996902,MNI
9421487,MNI
4626540,UNKNOWN
9826950,UNKNOWN
4513187,MNI
8059162,MNI
7212692,MNI
11497668,MNI
4801877,MNI
6868701,MNI
7284130,MNI
5279696,UNKNOWN
3674338,MNI
11494636,MNI
10344700,MNI
6072645,MNI
7151065,MNI
4973061,UNKNOWN
11917016,MNI
7851406,UNKNOWN
6664227,MNI
7321261,MNI
7163793,MNI
10371072,MNI
5608410,MNI
6543025,MNI
7662133,MNI
2732263,MNI
5561637,MNI
3388101,MNI
4299934,MNI
7456903,MNI
6920239,MNI
6384328,MNI
11582681,MNI
10426141,MNI
4312919,MNI
4863900,MNI
11364465,MNI
9871745,UNKNOWN
4230048,UNKNOWN
6520382,MNI
4684097,MNI
5364534,MNI
3348019,MNI
11851321,MNI
7025138,MNI
3430626,MNI
6083450,MNI
11506346,MNI
5329061,MNI
4629464,MNI
10877805,MNI
11303796,MNI
3792746,MNI
10177535,MNI
9014677,MNI
11680639,MNI
7934686,UNKNOWN
3839877,MNI
8824472,MNI
3632543,MNI
3776403,MNI
10393263,MNI
8500888,UNKNOWN
5539622,MNI
9701560,MNI
5607539,MNI
8403348,UNKNOWN
9465649,MNI
11331623,MNI
5738235,MNI
11521969,UNKNOWN
8046043,TAL
7507145,UNKNOWN
4827723,MNI
4536470,MNI
11025752,MNI
3160749,MNI
9903216,MNI
3852215,MNI
5992887,UNKNOWN
10897532,MNI
5614750,MNI
5065043,MNI
4529164,MNI
10962441,MNI
11067201,MNI
4334653,MNI
10165759,MNI
3010401,UNKNOWN
5390949,MNI
6931233,MNI
11867789,MNI
5339687,MNI
6700635,MNI
4737469,MNI
4508678,MNI
3432077,MNI
3675157,MNI
9720004,MNI
3534120,MNI
9693894,MNI
4927852,MNI
10909630,UNKNOWN
3335803,MNI
11063818,MNI
10830492,UNKNOWN
3760905,MNI
8365836,MNI
9616570,MNI
11144950,MNI
11077244,MNI
6411581,MNI
11782200,MNI
11335656,MNI
10448214,UNKNOWN
4053649,MNI
5200876,MNI
6872975,MNI
3132541,MNI
11111894,MNI
9616370,MNI
5349685,MNI
7235062,UNKNOWN
4692518,UNKNOWN
11872816,MNI
9693722,MNI
6801158,MNI
4305215,MNI
5664300,UNKNOWN
9292816,UNKNOWN
10638840,UNKNOWN
5167220,MNI
11345637,MNI
6390411,UNKNOWN
11497707,MNI
9194644,MNI
8672096,MNI
9935650,MNI
3305887,MNI
6978216,MNI
11335690,MNI
11019668,MNI
5624890,MNI
11755477,MNI
8689627,UNKNOWN
4207674,MNI
5534111,UNKNOWN
5331035,MNI
7998032,MNI
10642051,MNI
10925090,MNI
7005463,MNI
6221120,MNI
9985137,MNI
11813630,UNKNOWN
8959640,MNI
11484424,MNI
11160843,MNI
3902504,MNI
