pmcid,table_id,table_label,x,y,z
4444480,T2,Table 2,-24.0,24.0,36.0
4444480,T2,Table 2,22.0,-12.0,76.0
4444480,T2,Table 2,-20.0,6.0,-30.0
4444480,T2,Table 2,-6.0,68.0,-2.0
4444480,T2,Table 2,66.0,-36.0,40.0
4444480,T2,Table 2,-14.0,-30.0,52.0
4444480,T2,Table 2,-12.0,-20.0,80.0
4444480,T2,Table 2,-8.0,-88.0,-24.0
4444480,T2,Table 2,-56.0,6.0,34.0
4444480,T2,Table 2,14.0,-68.0,44.0
4444480,T2,Table 2,34.0,-48.0,56.0
4444480,T2,Table 2,20.0,6.0,-24.0
4444480,T2,Table 2,18.0,-32.0,58.0
4444480,T2,Table 2,6.0,-36.0,42.0
4444480,T2,Table 2,16.5,9.0,-15.0
4444480,T2,Table 2,24.0,-90.0,19.5
4444480,T2,Table 2,-27.0,-90.0,19.5
4444480,T2,Table 2,12.0,-61.5,40.5
4444480,T2,Table 2,-57.0,-12.0,43.5
4444480,T2,Table 2,45.0,30.0,-7.5
4444480,T2,Table 2,12.0,-4.5,64.5
4444480,T2,Table 2,66.0,-7.5,-6.0
3669206,pone-0064925-t006,Table 6,-29,-65,14
3669206,pone-0064925-t006,Table 6,-17,-51,36
3669206,pone-0064925-t006,Table 6,2,-18,23
3669206,pone-0064925-t006,Table 6,32,-21,20
3669206,pone-0064925-t006,Table 6,24,-23,-21
3669206,pone-0064925-t006,Table 6,-35,-2,-27
3669206,pone-0064925-t006,Table 6,6,-5,24
3669206,pone-0064925-t006,Table 6,33,-6,-24
3669206,pone-0064925-t006,Table 6,-38,-18,-14
3669206,pone-0064925-t006,Table 6,-2,-6,14
3669206,pone-0064925-t006,Table 6,35,-48,2
3669206,pone-0064925-t006,Table 6,-17,-29,27
3669206,pone-0064925-t006,Table 6,12,20,18
3669206,pone-0064925-t006,Table 6,-17,-11,29
3669206,pone-0064925-t006,Table 6,-29,2,-12
3669206,pone-0064925-t006,Table 6,48,-50,-14
3669206,pone-0064925-t006,Table 6,-36,-65,-9
3669206,pone-0064925-t006,Table 6,-38,-35,-5
3669206,pone-0064925-t006,Table 6,-27,-39,20
3669206,pone-0064925-t006,Table 6,27,-45,17
3669206,pone-0064925-t007,Table 7,39,27,2
3669206,pone-0064925-t007,Table 7,20,-11,-29
3669206,pone-0064925-t007,Table 7,24,-90,18
3669206,pone-0064925-t007,Table 7,-48,-62,-12
3669206,pone-0064925-t007,Table 7,-29,-62,54
3669206,pone-0064925-t007,Table 7,60,-30,-24
3669206,pone-0064925-t007,Table 7,36,-89,11
3669206,pone-0064925-t007,Table 7,44,41,14
3669206,pone-0064925-t007,Table 7,-45,30,-2
3669206,pone-0064925-t007,Table 7,8,-54,-27
3669206,pone-0064925-t007,Table 7,-33,-14,-8
3669206,pone-0064925-t007,Table 7,30,-77,-14
3669206,pone-0064925-t007,Table 7,-29,-8,-30
3669206,pone-0064925-t007,Table 7,-24,2,-6
3669206,pone-0064925-t007,Table 7,44,15,32
3669206,pone-0064925-t007,Table 7,59,-51,-17
3669206,pone-0064925-t007,Table 7,-14,23,-8
3669206,pone-0064925-t007,Table 7,35,-20,-5
3669206,pone-0064925-t007,Table 7,-38,2,-18
3669206,pone-0064925-t007,Table 7,-57,-41,38
3669206,pone-0064925-t008,Table 8,24,-23,-24
3669206,pone-0064925-t008,Table 8,29,-29,-6
