pmcid,pmid,doi,title,journal,publication_year,license
3053228,21356112,10.1186/1471-2377-11-29,Causes and consequences of cerebral small vessel disease. The RUN DMC study: a prospective cohort study. Study rationale and protocol,BMC Neurol,2011,http://creativecommons.org/licenses/by/2.0
4444480,26028932,10.3346/jkms.2015.30.6.779,"Comparison of Regional Gray Matter Atrophy, White Matter Alteration, and Glucose Metabolism as a Predictor of the Conversion to Alzheimer's Disease in Mild Cognitive Impairment",J Korean Med Sci,2015,http://creativecommons.org/licenses/by-nc/4.0/
5461938,28487471,10.1042/CS20170146,Using DTI to assess white matter microstructure in cerebral small vessel disease (SVD) in multicentre studies,Clin Sci (Lond),2017,http://creativecommons.org/licenses/by/4.0/
8258736,34230607,10.1038/s41386-021-01058-7,Neurobiology of loneliness: a systematic review,Neuropsychopharmacology,2021,
3669206,23741425,10.1371/journal.pone.0064925,Robust Automated Detection of Microstructural White Matter Degeneration in Alzheimer’s Disease Using Machine Learning Classification of Multicenter DTI Data,PLoS One,2013,http://creativecommons.org/licenses/by/4.0/
7683078,32925045,10.3233/JAD-200423,White Matter Changes on Diffusion Tensor Imaging in the FINGER Randomized Controlled Trial,J Alzheimers Dis,2020,https://creativecommons.org/licenses/by-nc/4.0/
4418835,25938561,10.1371/journal.pone.0126310,Interhemispheric Functional and Structural Disconnection in Alzheimer’s Disease: A Combined Resting-State fMRI and DTI Study,PLoS One,2015,http://creativecommons.org/licenses/by/4.0/
5428287,28336929,10.1038/s41598-017-00381-8,Developmental Whole Brain White Matter Alterations in Transgenic Huntington’s Disease Monkey,Sci Rep,2017,http://creativecommons.org/licenses/by/4.0/
10481508,37670319,10.1186/s13023-023-02863-7,Neurodegeneration or dysfunction in Phelan-McDermid syndrome? A multimodal approach with CSF and computational MRI,Orphanet J Rare Dis,2023,https://creativecommons.org/licenses/by/4.0/
4240303,25367029,10.1093/brain/awu298,White matter involvement in sporadic Creutzfeldt-Jakob disease,Brain,2014,http://creativecommons.org/licenses/by-nc/4.0/
11656998,39703304,10.7759/cureus.73991,Exploring Tractography: An Analysis of Brain Connectivity Patterns in Men,Cureus,2024,https://creativecommons.org/licenses/by/4.0/
5346640,27861154,10.18632/oncotarget.13409,Presence of lacunar infarctions is associated with the spatial navigation impairment in patients with mild cognitive impairment: a DTI study,Oncotarget,2016,http://creativecommons.org/licenses/by/3.0/
10559725,37808483,10.3389/fneur.2023.1172031,Diffusion tensor free water MRI predicts progression of FLAIR white matter hyperintensities after ischemic stroke,Front Neurol,2023,https://creativecommons.org/licenses/by/4.0/
11294966,39088212,10.1001/jamanetworkopen.2024.26872,ω-3 PUFA for Secondary Prevention of White Matter Lesions and Neuronal Integrity Breakdown in Older Adults,JAMA Netw Open,2024,https://creativecommons.org/licenses/by/4.0/
7909688,33635906,10.1371/journal.pone.0247748,Retrospective study of late radiation-induced damages after focal radiotherapy for childhood brain tumors,PLoS One,2021,http://creativecommons.org/licenses/by/4.0/
6918918,31594223,10.3233/JAD-190446,Multicenter Tract-Based Analysis of Microstructural Lesions within the Alzheimer’s Disease Spectrum: Association with Amyloid Pathology and Diagnostic Usefulness,J Alzheimers Dis,2019,https://creativecommons.org/licenses/by-nc/4.0/
9927845,36601694,10.1002/brb3.2863,Whole‐brain DTI parameters associated with tau protein and hippocampal volume in Alzheimer's disease,Brain Behav,2023,https://creativecommons.org/licenses/by/4.0/
5334426,27436017,10.1007/s00330-016-4490-4,Functional connectivity and microstructural white matter changes in phenocopy frontotemporal dementia,Eur Radiol,2016,https://creativecommons.org/licenses/by/4.0/
6296345,30531675,10.12659/MSM.912153,Use of Multimodal Magnetic Resonance Imaging Techniques to Explore Cognitive Impairment in Leukoaraiosis,Med Sci Monit,2018,https://creativecommons.org/licenses/by-nc-nd/4.0/
6706343,31421507,10.1016/j.nicl.2019.101975,White matter integrity is associated with gait impairment and falls in mild cognitive impairment. Results from the gait and brain study,Neuroimage Clin,2019,http://creativecommons.org/licenses/by-nc-nd/4.0/
8921113,34581847,10.1007/s00259-021-05493-y,18F-florbetapir PET as a marker of myelin integrity across the Alzheimer’s disease spectrum,Eur J Nucl Med Mol Imaging,2021,https://creativecommons.org/licenses/by/4.0/
4630483,26539011,10.3346/jkms.2015.30.11.1652,Gray and White Matter Degenerations in Subjective Memory Impairment: Comparisons with Normal Controls and Mild Cognitive Impairment,J Korean Med Sci,2015,http://creativecommons.org/licenses/by-nc/4.0/
8381344,34435188,10.1093/braincomms/fcab133,"White matter abnormalities in active elite adult rugby
players",Brain Commun,2021,https://creativecommons.org/licenses/by/4.0/
6535714,31205489,10.1177/1756286419843447,Structural brain signature of cognitive decline in Parkinson’s disease: DTI-based evidence from the LANDSCAPE study,Ther Adv Neurol Disord,2019,http://www.creativecommons.org/licenses/by-nc/4.0/
7363568,32522711,10.1016/j.nbd.2020.104960,Serum neurofilament light chain levels are associated with white matter integrity in autosomal dominant Alzheimer's disease,Neurobiol Dis,2020,http://creativecommons.org/licenses/by/4.0/
11564857,38481124,10.1089/neu.2023.0099,Widespread White Matter Abnormalities in Concussed Athletes Detected by 7T Diffusion Magnetic Resonance Imaging,J Neurotrauma,2024,https://creativecommons.org/licenses/by/4.0/
7267920,31778276,10.1002/hbm.24878,Microstructural abnormalities of substantia nigra in Parkinson's disease: A neuromelanin sensitive MRI atlas based study,Hum Brain Mapp,2019,http://creativecommons.org/licenses/by/4.0/
5683343,29159043,10.1016/j.nicl.2017.10.022,Neuroimaging and other modalities to assess Alzheimer's disease in Down syndrome☆,Neuroimage Clin,2017,http://creativecommons.org/licenses/by-nc-nd/4.0/
4361402,25775003,10.1371/journal.pone.0119714,Independent Component Analysis-Based Identification of Covariance Patterns of Microstructural White Matter Damage in Alzheimer’s Disease,PLoS One,2015,http://creativecommons.org/licenses/by/4.0/
4236070,25405990,10.1371/journal.pone.0112638,"Diffusion Tensor Imaging of Parkinson’s Disease, Multiple System Atrophy and Progressive Supranuclear Palsy: A Tract-Based Spatial Statistics Study",PLoS One,2014,http://creativecommons.org/licenses/by/4.0/
4053642,24936411,10.1016/j.nicl.2014.02.001,Associations between white matter microstructure and amyloid burden in preclinical Alzheimer's disease: A multimodal imaging investigation,Neuroimage Clin,2014,http://creativecommons.org/licenses/by-nc-nd/3.0/
8435601,34526957,10.3389/fneur.2021.699014,Brain Network Integrity Changes in Subjective Cognitive Decline: A Possible Physiological Biomarker of Dementia,Front Neurol,2021,https://creativecommons.org/licenses/by/4.0/
2842443,20339558,10.1371/journal.pone.0009811,Surface-Based Analysis on Shape and Fractional Anisotropy of White Matter Tracts in Alzheimer's Disease,PLoS One,2010,http://creativecommons.org/licenses/by/4.0/
3285682,22384251,10.1371/journal.pone.0032441,Using Support Vector Machines with Multiple Indices of Diffusion for Automated Classification of Mild Cognitive Impairment,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/
4863525,26335798,10.1016/j.jneumeth.2015.08.027,Robust MR-based approaches to quantifying white matter structure and structure/function alterations in Huntington's disease,J Neurosci Methods,2016,http://creativecommons.org/licenses/by/4.0/
4206159,25230999,10.1212/WNL.0000000000000882,"Depression in small-vessel disease relates to white matter ultrastructural damage, not disability",Neurology,2014,open-access
3715470,23874403,10.1371/journal.pone.0066932,Diffusion Tensor Tractography versus Volumetric Imaging in the Diagnosis of Behavioral Variant Frontotemporal Dementia,PLoS One,2013,http://creativecommons.org/licenses/by/4.0/
11187968,38757392,10.1002/acn3.52071,Alzheimer's Disease and Small Vessel Disease Differentially Affect White Matter Microstructure,Ann Clin Transl Neurol,2024,https://creativecommons.org/licenses/by-nc-nd/4.0/
4137565,24650605,10.1016/j.neuroimage.2014.03.026,Improved DTI registration allows voxel-based analysis that outperforms Tract-Based Spatial Statistics,Neuroimage,2014,http://creativecommons.org/licenses/by-nc-nd/3.0/
3853114,24319654,10.1016/j.nicl.2013.11.001,White matter tract integrity metrics reflect the vulnerability of late-myelinating tracts in Alzheimer's disease☆,Neuroimage Clin,2013,http://creativecommons.org/licenses/by-nc-nd/3.0/
7591030,33108404,10.1371/journal.pone.0236384,Plasma neurofilament light protein correlates with diffusion tensor imaging metrics in frontotemporal dementia,PLoS One,2020,http://creativecommons.org/licenses/by/4.0/
7719770,33328963,10.3389/fnagi.2020.582904,Acupuncture Improves White Matter Perfusion and Integrity in Rat Model of Vascular Dementia: An MRI-Based Imaging Study,Front Aging Neurosci,2020,http://creativecommons.org/licenses/by/4.0/
8044349,33867969,10.3389/fnagi.2021.650377,White Matter Structural Network Analysis to Differentiate Alzheimer’s Disease and Subcortical Ischemic Vascular Dementia,Front Aging Neurosci,2021,https://creativecommons.org/licenses/by/4.0/
3368882,22701578,10.1371/journal.pone.0037720,CSF T-Tau/Aβ42 Predicts White Matter Microstructure in Healthy Adults at Risk for Alzheimer’s Disease,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/
6933911,31881858,10.1186/s12883-019-1567-0,"Multimodal MRI of grey matter, white matter, and functional connectivity in cognitively healthy mutation carriers at risk for frontotemporal dementia and Alzheimer's disease",BMC Neurol,2019,http://creativecommons.org/licenses/by/4.0/
4354903,25756991,10.1371/journal.pone.0120197,The Semantic Variant of Primary Progressive Aphasia: Clinical and Neuroimaging Evidence in Single Subjects,PLoS One,2015,http://creativecommons.org/licenses/by/4.0/
3184226,21340578,10.1007/s00234-011-0845-3,"DTI studies in patients with Alzheimer's disease, mild cognitive impairment, or normal cognition with evaluation of the intrinsic background gradients",Neuroradiology,2011,https://creativecommons.org/licenses/by-nc/4.0/
8453576,34019710,10.1002/jnr.24851,"The relationship between white matter microstructure, cardiovascular fitness, gross motor skills, and neurocognitive functioning in children",J Neurosci Res,2021,https://creativecommons.org/licenses/by-nc-nd/4.0/
6514143,31133818,10.3389/fncir.2019.00028,Longitudinal Changes in Diffusion Tensor Imaging Following Mild Traumatic Brain Injury and Correlation With Outcome,Front Neural Circuits,2019,http://creativecommons.org/licenses/by/4.0/
5996902,29922120,10.3389/fnins.2018.00274,Specific Patterns of White Matter Alterations Help Distinguishing Alzheimer's and Vascular Dementia,Front Neurosci,2018,http://creativecommons.org/licenses/by/4.0/
9421487,35908307,10.1016/j.nicl.2022.103114,Determining the OPTIMAL DTI analysis method for application in cerebral small vessel disease,Neuroimage Clin,2022,https://creativecommons.org/licenses/by/4.0/
4626540,25700953,10.1016/j.neuroimage.2015.02.023,In vivo imaging of tau pathology using multi-parametric quantitative MRI,Neuroimage,2015,http://creativecommons.org/licenses/by/4.0/
9826950,36632487,10.1016/j.cccb.2022.100155,Spatial orientation – a stable marker for vascular cognitive impairment?,Cereb Circ Cogn Behav,2022,https://creativecommons.org/licenses/by-nc-nd/4.0/
4513187,26236629,10.1016/j.nicl.2015.06.005,White matter tract signatures of impaired social cognition in frontotemporal lobar degeneration,Neuroimage Clin,2015,http://creativecommons.org/licenses/by/4.0/
8059162,33879062,10.1186/s11689-021-09366-1,White matter microstructure associations with episodic memory in adults with Down syndrome: a tract-based spatial statistics study,J Neurodev Disord,2021,https://creativecommons.org/licenses/by/4.0/
7212692,32425831,10.3389/fpsyt.2020.00342,Age-Related Changes of Peak Width Skeletonized Mean Diffusivity (PSMD) Across the Adult Lifespan: A Multi-Cohort Study,Front Psychiatry,2020,http://creativecommons.org/licenses/by/4.0/
11497668,39132759,10.1002/alz.13879,Leptin bioavailability and markers of brain atrophy and vascular injury in the middle age,Alzheimers Dement,2024,https://creativecommons.org/licenses/by-nc/4.0/
4801877,27047376,10.3389/fnagi.2016.00061,Hippocampal Pathway Plasticity Is Associated with the Ability to Form Novel Memories in Older Adults,Front Aging Neurosci,2016,http://creativecommons.org/licenses/by/4.0/
6868701,31747967,10.1186/s13063-019-3613-z,"Testing the therapeutic effects of transcranial direct current stimulation (tDCS) in semantic dementia: a double blind, sham controlled, randomized clinical trial",Trials,2019,http://creativecommons.org/licenses/by/4.0/
7284130,32521475,10.1016/j.nicl.2020.102280,Cross-sectional and longitudinal differences in peak skeletonized white matter mean diffusivity in cerebral amyloid angiopathy,Neuroimage Clin,2020,http://creativecommons.org/licenses/by-nc-nd/4.0/
5279696,28180075,10.1016/j.nicl.2017.01.026,Independent value added by diffusion MRI for prediction of cognitive function in older adults☆,Neuroimage Clin,2017,http://creativecommons.org/licenses/by-nc-nd/4.0/
3674338,23404139,10.1007/s00330-013-2775-4,Relationship between cognitive impairment and white-matter alteration in Parkinson’s disease with dementia: tract-based spatial statistics and tract-specific analysis,Eur Radiol,2013,https://creativecommons.org/licenses/by-nc/2.5/
11494636,38905054,10.3233/JHD-240018,White Matter Microstructure Changes Revealed by Diffusion Kurtosis and Diffusion Tensor Imaging in Mutant Huntingtin Gene Carriers,J Huntingtons Dis,2024,https://creativecommons.org/licenses/by-nc/4.0/
10344700,37457665,10.1016/j.cccb.2023.100174,The association of diffusion tensor MRI measures of normal appearing white matter and cognition,Cereb Circ Cogn Behav,2023,https://creativecommons.org/licenses/by-nc-nd/4.0/
6072645,30094168,10.1016/j.nicl.2018.07.014,Single-subject classification of presymptomatic frontotemporal dementia mutation carriers using multimodal MRI,Neuroimage Clin,2018,http://creativecommons.org/licenses/by-nc-nd/4.0/
7151065,32182844,10.3390/healthcare8010057,Tai Chi Training Evokes Significant Changes in Brain White Matter Network in Older Women,Healthcare (Basel),2020,http://creativecommons.org/licenses/by/4.0/
4973061,27487766,10.1186/s40478-016-0350-3,Astroglial NF-kB contributes to white matter damage and cognitive impairment in a mouse model of vascular dementia,Acta Neuropathol Commun,2016,http://creativecommons.org/licenses/by/4.0/
11917016,40098158,10.1186/s13195-025-01707-9,Perivascular space and white matter hyperintensities in Alzheimer’s disease: associations with disease progression and cognitive function,Alzheimers Res Ther,2025,https://creativecommons.org/licenses/by/4.0/
