pmcid,table_id,table_label,table_caption,table_foot,n_header_rows,table_data_file
4444480,T1,Table 1,Subject baseline characteristics,"Baseline characteristics of the group that converted to Alzheimer's disease (MCIc) and the group that did not convert to Alzheimer's disease (MCInc) at a two-year follow-up. Values are mean (SD). All neuropsychological test scores are raw values. Group comparisons by *t-test and †Fisher exact test, two-tailed. MCI, Mild Cognitive impairment; MCIc, MCI group converted to Alzheimer's disease; MCInc, MCI group not converted to Alzheimer's disease; BDS-ADL, Blessed Dementia Scale-Activities of Daily living.",1,articles/50e/pmcid_4444480/tables/table_000.csv
4444480,T2,Table 2,Brain regions showing significantly lower glucose metabolism and gray matter in AD-converted MCI compared to non-converted MCI,"*Brain regions were transformed to Talairach atlas from MNI coordinates. AD, Alzheimer's disease; MNI, Montreal Neurological Institute; FDG-PET, fluorodeoxyglucose-positron emission tomography.",2,articles/50e/pmcid_4444480/tables/table_001.csv
4444480,T3,Table 3,Logistic regression analyses designed to select appropriate models for Alzheimer's disease prediction in MCI,"*All models contain age and years of education as covariates. AD, Alzheimer's disease; MCI, mild cognitive impairment; -2LL,-2 log likelihood; df, degree of freedom; edu, year of education; MMSE, mini-mental state examination; Model N, model using MMSE; Model P, model using PET; Model M, model using MRI; model NP, combination of model N and P; model NM, combination of model N and M; model PM, combination of model P and M; model NPM, combination of model N, P, and M.",1,articles/50e/pmcid_4444480/tables/table_002.csv
4444480,T4,Table 4,Final logistic regression model (model NP)* for Alzheimer's disease prediction in mild cognitive impairment,"*Chi-square, 34.416; df, 4; P<0.001. Model NP, combination of MMSE and PET.",1,articles/50e/pmcid_4444480/tables/table_003.csv
5461938,T1,Table 1,Baseline characteristics of the study population,Other missing data not previously reported; former smoker =3; peripheral vascular disease =1.,1,articles/d23/pmcid_5461938/tables/table_000.csv
5461938,T2,Table 2,Mean scores for key individual variables using all available data,,1,articles/d23/pmcid_5461938/tables/table_001.csv
5461938,T3,Table 3,Results from linear regression ‘Simple model’ analyses,All numbers are standardized β-values (P-values). Significant relationships are shown in bold while the most strongly associated MR variable per outcome per category is underlined.,1,articles/d23/pmcid_5461938/tables/table_002.csv
5461938,T4,Table 4,Results from linear regression ‘Complex model’ analyses,"All numbers are standardized β-values (P-values) (95% standardized β confidence interval (CI)), with overall model significance being given on the bottom row. Models are separated into those which test NAWM and WM metrics horizontally. Significant associations are shown in bold.",1,articles/d23/pmcid_5461938/tables/table_003.csv
8258736,Tab1,Table 1,(A) Structural gray matter studies (structural MRI). (B) Structural white matter studies (DMRI/DTI). (C) Structural longitudinal/cohort studies (MRI or CT).,"(A) C concordant, dlPFC dorsal lateral prefrontal cortex, GM gray matter, GMV gray matter volume, HC healthy control, IFG_tri inferior frontal gyrus triangular part, L loneliness, ME multiple episodes of depression, MTG middle temporal gyrus, MRI magnetic resonance imaging, NS not stated, pSTS posterior superior temporal sulcus, R robust, rGMV regional gray matter volume, ROI region of interest, S susceptible, SE single episode of depression, SI social isolation, tGMV total gray matter volume, TIV total intracranial volume, UCLA-LS University of California Los Angeles loneliness scale, vmPFC ventromedial prefrontal cortex.(B) AI anterior insula, dmPFC dorsal medial prefrontal cortex, DMRI diffusion MRI, DTI diffusion tensor imaging, IFG inferior front gyrus, IPL inferior parietal lobule, M/M Met/Met genotype, NR not stated, pSTS posterior superior temporal sulcus, pTPJ posterior temporoparietal junction, rlPFC rostro lateral prefrontal cortex, ROIs regions of interest, rWMD regional white matter density, SLF superior longitudinal fasciculus, TPJ temporoparietal junction, UCLA-LS University of California Los Angeles Loneliness Scale, VAN ventral attentional network, V/M Val/Met genotype, V/V Val/Val genotype.(C) AI anterior insula, BMI body mass index, BP blood pressure, C non-empty nest elderly control group, CE couples empty-nest group, CT Computerized tomography, DM diabetes mellitus, HC healthy controls, HTN hypertension, MRI magnetic resonance imaging, PFC prefrontal cortex, pTBI penetrating traumatic brain injuries, SE single empty-nest group, UCLA-LS University of California Los Angeles Loneliness Scale, WMH white matter hyperintensities.",1,articles/d4a/pmcid_8258736/tables/table_000.csv
8258736,Tab2,Table 2,(A) Task-based fMRI Studies. (B) Resting state fMRI.,"(A) aAlso featured in the structural MRI work; C concordant, DLPFC dorsal lateral prefrontal cortex, DMN default mode network, dmPFC dorsal medial prefrontal cortex, fMRI functional magnetic resonance imaging, GMV gray matter volume, L loneliness, LLD late-life depression, MDD major depressive disorder, mPFC medial prefrontal cortex, NS not stated, NC non-psychiatric control group, O old, R robust, ROI region of interest, S susceptible, SFG superior frontal gyrus, SI social isolation, SMA supplementary motor area, SZ individuals with schizophrenia, UCLA-LS University of California Los Angeles Loneliness Scale, VS ventral striatum, vmPFC ventromedial prefrontal cortex, Y young.(B) ACC anterior cingulate cortex, ALFF amplitude of low-frequency fluctuations, DMN default mode network, dlPFC dorsal lateral prefrontal cortex, FC functional connectivity, fMRI functional magnetic resonance imaging, ITG inferior temporal gyrus, mPFC medial prefrontal cortex, NIH National Institutes of Health, NS not stated, UCLA-LS University of California Los Angeles Loneliness Scale.",1,articles/d4a/pmcid_8258736/tables/table_001.csv
