Unnamed: 0,Gene,HPRD,#PPIs,Unnamed: 4,Gene.1,HPRD.1,#PPIs.1
1,A2M,HPRD_00072,28,18.0,MAPKAPK5,HPRD_09467,19.0
2,ACTA1,HPRD_00030,91,19.0,MMP1,HPRD_00384,16.0
3,ACTA2,HPRD_00031,15,20.0,MMP14,HPRD_02856,20.0
4,APBA1,HPRD_03879,15,21.0,MMP7,HPRD_01525,16.0
5,CTNNB1,HPRD_00286,135,22.0,MMP9,HPRD_00387,31.0
6,DVL2,HPRD_03690,53,23.0,NOTCH1,HPRD_01827,46.0
7,ERBB4,HPRD_02767,29,24.0,NOTCH2,HPRD_02606,16.0
8,ERN1,HPRD_04943,12,25.0,PKN1,HPRD_03019,24.0
9,FURIN,HPRD_00653,27,26.0,PLAU,HPRD_01883,16.0
10,GSK3A,HPRD_06002,21,27.0,PRKCB,HPRD_01499,68.0
11,GSK3B,HPRD_05418,74,28.0,PRKCD,HPRD_01501,103.0
12,JUP,HPRD_01414,38,29.0,PRKCG,HPRD_01502,48.0
13,LRP1,HPRD_00138,55,30.0,PRKCQ,HPRD_02710,24.0
14,LRP2,HPRD_02509,44,31.0,TRPC1,HPRD_11894,13.0
15,MAPK1,HPRD_01496,161,32.0,TRPC3,HPRD_15999,19.0
16,MAPK11,HPRD_04208,15,33.0,WNT3A,HPRD_05897,12.0
17,MAPK9,HPRD_04206,39,,,,
